  0.9999407500012     0.0000000000000E+00-0.1088560917551E-01 000000
  0.2602248421100E-02 0.0000000000000E+00 0.2390398365338     100000
 -0.1624247056781E-01 0.0000000000000E+00 -1.492016472352     010000
  0.0000000000000E+00-0.5132183766530E-02 0.0000000000000E+00 001000
  0.0000000000000E+00-0.5415052457912E-02 0.0000000000000E+00 000100
 -0.8453621787126E-07 0.0000000000000E+00-0.7765409150520E-05 000010
  0.8609263407549E-02 0.0000000000000E+00 0.7908379926105     000001
 -0.3017333731103E-01 0.0000000000000E+00-0.1468123594718     200000
  0.3638475335085     0.0000000000000E+00 0.6552076992103     110000
  -1.138334281871     0.0000000000000E+00 -2.303807655795     020000
  0.0000000000000E+00-0.1826200684890     0.0000000000000E+00 101000
  0.0000000000000E+00 0.5074171442191     0.0000000000000E+00 011000
 -0.2781134244085E-03 0.0000000000000E+00-0.2433738772092E-01 002000
  0.0000000000000E+00-0.8548817202491     0.0000000000000E+00 100100
  0.0000000000000E+00  2.983224241320     0.0000000000000E+00 010100
 -0.3012177591689E-02 0.0000000000000E+00-0.2741424965511     001100
  0.1373880065560E-05 0.0000000000000E+00-0.4433959066956E-04 100010
 -0.5705446847654E-05 0.0000000000000E+00 0.5403815762060E-03 010010
  0.0000000000000E+00-0.3581915748268E-05 0.0000000000000E+00 001010
 -0.1399174894765     0.0000000000000E+00  4.515593731365     100001
  0.5810491171853     0.0000000000000E+00 -55.03306686466     010001
  0.0000000000000E+00 0.3647863243568     0.0000000000000E+00 001001
 -0.1276946027608E-01 0.0000000000000E+00 -1.171642494544     000200
  0.0000000000000E+00-0.5255332486002E-04 0.0000000000000E+00 000110
 -0.2992809790165E-10 0.0000000000000E+00 0.2065777904089E-10 000020
  0.0000000000000E+00  5.352089650489     0.0000000000000E+00 000101
  0.6096469075725E-05 0.0000000000000E+00-0.4207437369397E-05 000011
 -0.3104356301537     0.0000000000000E+00 0.2142450739995     000002
  0.3097240478369E-01 0.0000000000000E+00-0.3860097484822     300000
 -0.2931490470320     0.0000000000000E+00  7.714077540290     210000
   1.019229351356     0.0000000000000E+00 -47.58443248812     120000
  -2.084205487735     0.0000000000000E+00  126.0128222470     030000
  0.0000000000000E+00-0.1196609913439     0.0000000000000E+00 201000
  0.0000000000000E+00  1.098876318924     0.0000000000000E+00 111000
  0.0000000000000E+00 -2.275831808899     0.0000000000000E+00 021000
  0.1215315271380E-02 0.0000000000000E+00-0.3367607479462     102000
  0.9534579295366E-03 0.0000000000000E+00  3.184529544516     012000
  0.0000000000000E+00-0.1297488283228E-01 0.0000000000000E+00 003000
  0.0000000000000E+00 -1.129843655025     0.0000000000000E+00 200100
  0.0000000000000E+00  10.70297060317     0.0000000000000E+00 110100
  0.0000000000000E+00 -27.44514225225     0.0000000000000E+00 020100
  0.2699760434773E-01 0.0000000000000E+00 -3.046821118117     101100
 -0.3118727264814E-01 0.0000000000000E+00  33.05561220788     011100
  0.0000000000000E+00-0.9742235843035     0.0000000000000E+00 002100
  0.9833521601732E-05 0.0000000000000E+00 0.3492633349573E-04 200010
 -0.1944559434641E-03 0.0000000000000E+00-0.3924608109966E-03 110010
  0.7962539099966E-03 0.0000000000000E+00 0.7374349793074E-03 020010
  0.0000000000000E+00 0.3587759677905E-04 0.0000000000000E+00 101010
  0.0000000000000E+00-0.4064305485452E-03 0.0000000000000E+00 011010
 -0.8908313805185E-07 0.0000000000000E+00 0.1086925612384E-04 002010
  -1.001456888315     0.0000000000000E+00 -3.556937044376     200001
   19.80361176271     0.0000000000000E+00  39.96864993793     110001
  -81.09139282246     0.0000000000000E+00 -75.10120682797     020001
