# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.1734416E+00  0.7071068E+00  0.6855057E+00
       600      2 -0.1736156E+00  0.7071068E+00  0.6854616E+00
       600      3 -0.1733707E+00  0.7068572E+00  0.6857810E+00
       600      4 -0.1743528E+00  0.7071068E+00  0.6852745E+00
       600      5 -0.1735779E+00  0.7071068E+00  0.6854712E+00
       600      6 -0.1733995E+00  0.7069116E+00  0.6857175E+00
       600      7 -0.1743912E+00  0.7071068E+00  0.6852647E+00
       600      8 -0.1735396E+00  0.7071068E+00  0.6854809E+00
       600      9 -0.1734208E+00  0.7069669E+00  0.6856551E+00
       600     10 -0.1742369E+00  0.7071068E+00  0.6853040E+00
       600     11 -0.1735008E+00  0.7071068E+00  0.6854907E+00
       600     12 -0.1734347E+00  0.7070227E+00  0.6855941E+00
       600     13 -0.1739619E+00  0.7071068E+00  0.6853738E+00
       600     14 -0.1734614E+00  0.7071068E+00  0.6855006E+00
       600     15 -0.1734411E+00  0.7070787E+00  0.6855347E+00
       600     16 -0.1736218E+00  0.7071068E+00  0.6854600E+00
       600     17 -0.1734216E+00  0.7071068E+00  0.6855107E+00
       600     18 -0.1734402E+00  0.7071348E+00  0.6854771E+00
       600     19 -0.1732613E+00  0.7071068E+00  0.6855512E+00
       600     20 -0.1733815E+00  0.7071068E+00  0.6855209E+00
       600     21 -0.1734318E+00  0.7071908E+00  0.6854214E+00
       600     22 -0.1729215E+00  0.7071068E+00  0.6856370E+00
       600     23 -0.1733410E+00  0.7071068E+00  0.6855311E+00
       600     24 -0.1734160E+00  0.7072466E+00  0.6853679E+00
       600     25 -0.1726471E+00  0.7071068E+00  0.6857062E+00
       600     26 -0.1733002E+00  0.7071068E+00  0.6855414E+00
       600     27 -0.1733928E+00  0.7073019E+00  0.6853167E+00
       600     28 -0.1724935E+00  0.7071068E+00  0.6857449E+00
       600     29 -0.1732592E+00  0.7071068E+00  0.6855518E+00
       600     30 -0.1733624E+00  0.7073563E+00  0.6852682E+00
       600     31 -0.1725329E+00  0.7071068E+00  0.6857349E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.3362864E+00  0.7071068E+00  0.6220221E+00
      1200      2 -0.3363173E+00  0.7071068E+00  0.6220053E+00
      1200      3 -0.3361594E+00  0.7070158E+00  0.6221941E+00
      1200      4 -0.3378466E+00  0.7071068E+00  0.6211760E+00
      1200      5 -0.3363073E+00  0.7071068E+00  0.6220108E+00
      1200      6 -0.3362113E+00  0.7070450E+00  0.6221329E+00
      1200      7 -0.3378085E+00  0.7071068E+00  0.6211968E+00
      1200      8 -0.3362999E+00  0.7071068E+00  0.6220148E+00
      1200      9 -0.3362497E+00  0.7070675E+00  0.6220865E+00
      1200     10 -0.3374847E+00  0.7071068E+00  0.6213728E+00
      1200     11 -0.3362941E+00  0.7071068E+00  0.6220179E+00
      1200     12 -0.3362745E+00  0.7070852E+00  0.6220530E+00
      1200     13 -0.3370338E+00  0.7071068E+00  0.6216174E+00
      1200     14 -0.3362890E+00  0.7071068E+00  0.6220207E+00
      1200     15 -0.3362858E+00  0.7070999E+00  0.6220302E+00
      1200     16 -0.3365387E+00  0.7071068E+00  0.6218856E+00
      1200     17 -0.3362836E+00  0.7071068E+00  0.6220236E+00
      1200     18 -0.3362835E+00  0.7071136E+00  0.6220158E+00
      1200     19 -0.3360340E+00  0.7071068E+00  0.6221585E+00
      1200     20 -0.3362769E+00  0.7071068E+00  0.6220272E+00
      1200     21 -0.3362678E+00  0.7071283E+00  0.6220076E+00
      1200     22 -0.3355386E+00  0.7071068E+00  0.6224258E+00
      1200     23 -0.3362679E+00  0.7071068E+00  0.6220321E+00
      1200     24 -0.3362385E+00  0.7071460E+00  0.6220034E+00
      1200     25 -0.3350872E+00  0.7071068E+00  0.6226689E+00
      1200     26 -0.3362557E+00  0.7071068E+00  0.6220386E+00
      1200     27 -0.3361958E+00  0.7071686E+00  0.6220008E+00
      1200     28 -0.3347632E+00  0.7071068E+00  0.6228431E+00
      1200     29 -0.3362394E+00  0.7071068E+00  0.6220475E+00
      1200     30 -0.3361395E+00  0.7071978E+00  0.6219980E+00
      1200     31 -0.3347261E+00  0.7071068E+00  0.6228631E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.4785850E+00  0.7071068E+00  0.5205347E+00
      1800      2 -0.4784434E+00  0.7071068E+00  0.5206649E+00
      1800      3 -0.4784202E+00  0.7072632E+00  0.5204738E+00
      1800      4 -0.4803375E+00  0.7071068E+00  0.5189180E+00
      1800      5 -0.4784746E+00  0.7071068E+00  0.5206362E+00
      1800      6 -0.4784865E+00  0.7072347E+00  0.5204515E+00
      1800      7 -0.4801033E+00  0.7071068E+00  0.5191347E+00
      1800      8 -0.4785065E+00  0.7071068E+00  0.5206069E+00
      1800      9 -0.4785358E+00  0.7072012E+00  0.5204517E+00
      1800     10 -0.4796398E+00  0.7071068E+00  0.5195630E+00
      1800     11 -0.4785383E+00  0.7071068E+00  0.5205776E+00
      1800     12 -0.4785682E+00  0.7071645E+00  0.5204717E+00
      1800     13 -0.4791758E+00  0.7071068E+00  0.5199909E+00
      1800     14 -0.4785697E+00  0.7071068E+00  0.5205488E+00
      1800     15 -0.4785837E+00  0.7071262E+00  0.5205096E+00
      1800     16 -0.4787722E+00  0.7071068E+00  0.5203625E+00
      1800     17 -0.4786001E+00  0.7071068E+00  0.5205209E+00
      1800     18 -0.4785821E+00  0.7070874E+00  0.5205638E+00
      1800     19 -0.4783978E+00  0.7071068E+00  0.5207068E+00
      1800     20 -0.4786293E+00  0.7071068E+00  0.5204940E+00
      1800     21 -0.4785633E+00  0.7070491E+00  0.5206330E+00
      1800     22 -0.4779940E+00  0.7071068E+00  0.5210775E+00
      1800     23 -0.4786569E+00  0.7071068E+00  0.5204686E+00
      1800     24 -0.4785275E+00  0.7070124E+00  0.5207158E+00
      1800     25 -0.4775295E+00  0.7071068E+00  0.5215032E+00
      1800     26 -0.4786824E+00  0.7071068E+00  0.5204452E+00
      1800     27 -0.4784744E+00  0.7069788E+00  0.5208102E+00
      1800     28 -0.4770650E+00  0.7071068E+00  0.5219281E+00
      1800     29 -0.4787051E+00  0.7071068E+00  0.5204243E+00
      1800     30 -0.4784040E+00  0.7069503E+00  0.5209135E+00
      1800     31 -0.4768312E+00  0.7071068E+00  0.5221417E+00

      2400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2400      1 -0.5916434E+00  0.7071068E+00  0.3872441E+00
      2400      2 -0.5915777E+00  0.7071068E+00  0.3873445E+00
      2400      3 -0.5914722E+00  0.7072059E+00  0.3873247E+00
      2400      4 -0.5930952E+00  0.7071068E+00  0.3850169E+00
      2400      5 -0.5915994E+00  0.7071068E+00  0.3873114E+00
      2400      6 -0.5915398E+00  0.7071750E+00  0.3872779E+00
      2400      7 -0.5926699E+00  0.7071068E+00  0.3856714E+00
      2400      8 -0.5916162E+00  0.7071068E+00  0.3872857E+00
      2400      9 -0.5915906E+00  0.7071504E+00  0.3872453E+00
      2400     10 -0.5921868E+00  0.7071068E+00  0.3864127E+00
      2400     11 -0.5916291E+00  0.7071068E+00  0.3872660E+00
      2400     12 -0.5916245E+00  0.7071308E+00  0.3872293E+00
      2400     13 -0.5918660E+00  0.7071068E+00  0.3869040E+00
      2400     14 -0.5916391E+00  0.7071068E+00  0.3872507E+00
      2400     15 -0.5916414E+00  0.7071144E+00  0.3872334E+00
      2400     16 -0.5916985E+00  0.7071068E+00  0.3871600E+00
      2400     17 -0.5916475E+00  0.7071068E+00  0.3872380E+00
      2400     18 -0.5916413E+00  0.7070991E+00  0.3872614E+00
      2400     19 -0.5915884E+00  0.7071068E+00  0.3873282E+00
      2400     20 -0.5916552E+00  0.7071068E+00  0.3872261E+00
      2400     21 -0.5916241E+00  0.7070828E+00  0.3873176E+00
      2400     22 -0.5914214E+00  0.7071068E+00  0.3875832E+00
      2400     23 -0.5916636E+00  0.7071068E+00  0.3872133E+00
      2400     24 -0.5915898E+00  0.7070632E+00  0.3874057E+00
      2400     25 -0.5911009E+00  0.7071068E+00  0.3880718E+00
      2400     26 -0.5916737E+00  0.7071068E+00  0.3871979E+00
      2400     27 -0.5915383E+00  0.7070385E+00  0.3875293E+00
      2400     28 -0.5906171E+00  0.7071068E+00  0.3888077E+00
      2400     29 -0.5916864E+00  0.7071068E+00  0.3871785E+00
      2400     30 -0.5914695E+00  0.7070076E+00  0.3876906E+00
      2400     31 -0.5901906E+00  0.7071068E+00  0.3894548E+00

      3000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3000      1 -0.6685542E+00  0.7071068E+00  0.2302940E+00
      3000      2 -0.6685924E+00  0.7071068E+00  0.2301829E+00
      3000      3 -0.6684250E+00  0.7070591E+00  0.2308149E+00
      3000      4 -0.6693857E+00  0.7071068E+00  0.2278657E+00
      3000      5 -0.6685880E+00  0.7071068E+00  0.2301957E+00
      3000      6 -0.6684763E+00  0.7070625E+00  0.2306557E+00
      3000      7 -0.6689493E+00  0.7071068E+00  0.2291436E+00
      3000      8 -0.6685806E+00  0.7071068E+00  0.2302171E+00
      3000      9 -0.6685147E+00  0.7070717E+00  0.2305164E+00
      3000     10 -0.6686177E+00  0.7071068E+00  0.2301094E+00
      3000     11 -0.6685711E+00  0.7071068E+00  0.2302447E+00
      3000     12 -0.6685401E+00  0.7070844E+00  0.2304034E+00
      3000     13 -0.6684993E+00  0.7071068E+00  0.2304534E+00
      3000     14 -0.6685601E+00  0.7071068E+00  0.2302768E+00
      3000     15 -0.6685527E+00  0.7070991E+00  0.2303219E+00
      3000     16 -0.6685210E+00  0.7071068E+00  0.2303901E+00
      3000     17 -0.6685480E+00  0.7071068E+00  0.2303120E+00
      3000     18 -0.6685525E+00  0.7071144E+00  0.2302755E+00
      3000     19 -0.6685873E+00  0.7071068E+00  0.2301978E+00
      3000     20 -0.6685352E+00  0.7071068E+00  0.2303491E+00
      3000     21 -0.6685396E+00  0.7071291E+00  0.2302678E+00
      3000     22 -0.6686094E+00  0.7071068E+00  0.2301335E+00
      3000     23 -0.6685222E+00  0.7071068E+00  0.2303869E+00
      3000     24 -0.6685141E+00  0.7071419E+00  0.2303026E+00
      3000     25 -0.6684918E+00  0.7071068E+00  0.2304750E+00
      3000     26 -0.6685095E+00  0.7071068E+00  0.2304236E+00
      3000     27 -0.6684761E+00  0.7071510E+00  0.2303849E+00
      3000     28 -0.6681597E+00  0.7071068E+00  0.2314359E+00
      3000     29 -0.6684981E+00  0.7071068E+00  0.2304568E+00
      3000     30 -0.6684254E+00  0.7071545E+00  0.2305211E+00
      3000     31 -0.6677187E+00  0.7071068E+00  0.2327053E+00

      3600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3600      1 -0.7046181E+00  0.7071068E+00  0.5927363E-01
      3600      2 -0.7046265E+00  0.7071068E+00  0.5917351E-01
      3600      3 -0.7045827E+00  0.7070825E+00  0.5997974E-01
      3600      4 -0.7047955E+00  0.7071068E+00  0.5712559E-01
      3600      5 -0.7046241E+00  0.7071068E+00  0.5920156E-01
      3600      6 -0.7045981E+00  0.7070887E+00  0.5972489E-01
      3600      7 -0.7046404E+00  0.7071068E+00  0.5900755E-01
      3600      8 -0.7046222E+00  0.7071068E+00  0.5922475E-01
      3600      9 -0.7046090E+00  0.7070946E+00  0.5952677E-01
      3600     10 -0.7045623E+00  0.7071068E+00  0.5993249E-01
      3600     11 -0.7046205E+00  0.7071068E+00  0.5924466E-01
      3600     12 -0.7046157E+00  0.7070998E+00  0.5938559E-01
      3600     13 -0.7045620E+00  0.7071068E+00  0.5993657E-01
      3600     14 -0.7046189E+00  0.7071068E+00  0.5926364E-01
      3600     15 -0.7046183E+00  0.7071045E+00  0.5929839E-01
      3600     16 -0.7045967E+00  0.7071068E+00  0.5952714E-01
      3600     17 -0.7046172E+00  0.7071068E+00  0.5928445E-01
      3600     18 -0.7046169E+00  0.7071091E+00  0.5926058E-01
      3600     19 -0.7046394E+00  0.7071068E+00  0.5901991E-01
      3600     20 -0.7046150E+00  0.7071068E+00  0.5931001E-01
      3600     21 -0.7046116E+00  0.7071138E+00  0.5926703E-01
      3600     22 -0.7046737E+00  0.7071068E+00  0.5860878E-01
      3600     23 -0.7046122E+00  0.7071068E+00  0.5934307E-01
      3600     24 -0.7046025E+00  0.7071190E+00  0.5931312E-01
      3600     25 -0.7046736E+00  0.7071068E+00  0.5860979E-01
      3600     26 -0.7046086E+00  0.7071068E+00  0.5938601E-01
      3600     27 -0.7045897E+00  0.7071248E+00  0.5939592E-01
      3600     28 -0.7045964E+00  0.7071068E+00  0.5953101E-01
      3600     29 -0.7046040E+00  0.7071068E+00  0.5944036E-01
      3600     30 -0.7045734E+00  0.7071310E+00  0.5951560E-01
      3600     31 -0.7044352E+00  0.7071068E+00  0.6140881E-01

      4200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4200      1 -0.6976318E+00  0.7071068E+00 -0.1153682E+00
      4200      2 -0.6976567E+00  0.7071068E+00 -0.1152178E+00
      4200      3 -0.6977286E+00  0.7070895E+00 -0.1148878E+00
      4200      4 -0.6973889E+00  0.7071068E+00 -0.1168277E+00
      4200      5 -0.6976524E+00  0.7071068E+00 -0.1152437E+00
      4200      6 -0.6976913E+00  0.7070877E+00 -0.1151253E+00
      4200      7 -0.6977511E+00  0.7071068E+00 -0.1146444E+00
      4200      8 -0.6976469E+00  0.7071068E+00 -0.1152771E+00
      4200      9 -0.6976630E+00  0.7070904E+00 -0.1152803E+00
      4200     10 -0.6978386E+00  0.7071068E+00 -0.1141107E+00
      4200     11 -0.6976408E+00  0.7071068E+00 -0.1153139E+00
      4200     12 -0.6976438E+00  0.7070959E+00 -0.1153627E+00
      4200     13 -0.6977735E+00  0.7071068E+00 -0.1145081E+00
      4200     14 -0.6976347E+00  0.7071068E+00 -0.1153507E+00
      4200     15 -0.6976336E+00  0.7071030E+00 -0.1153810E+00
      4200     16 -0.6976785E+00  0.7071068E+00 -0.1150858E+00
      4200     17 -0.6976291E+00  0.7071068E+00 -0.1153848E+00
      4200     18 -0.6976323E+00  0.7071106E+00 -0.1153420E+00
      4200     19 -0.6975850E+00  0.7071068E+00 -0.1156509E+00
      4200     20 -0.6976243E+00  0.7071068E+00 -0.1154140E+00
      4200     21 -0.6976400E+00  0.7071176E+00 -0.1152521E+00
      4200     22 -0.6974887E+00  0.7071068E+00 -0.1162304E+00
      4200     23 -0.6976207E+00  0.7071068E+00 -0.1154356E+00
      4200     24 -0.6976565E+00  0.7071232E+00 -0.1151182E+00
      4200     25 -0.6974217E+00  0.7071068E+00 -0.1166315E+00
      4200     26 -0.6976189E+00  0.7071068E+00 -0.1154463E+00
      4200     27 -0.6976817E+00  0.7071259E+00 -0.1149487E+00
      4200     28 -0.6975099E+00  0.7071068E+00 -0.1161031E+00
      4200     29 -0.6976197E+00  0.7071068E+00 -0.1154418E+00
      4200     30 -0.6977157E+00  0.7071240E+00 -0.1147536E+00
      4200     31 -0.6978692E+00  0.7071068E+00 -0.1139237E+00

      4800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4800      1 -0.6480222E+00  0.7071068E+00 -0.2829614E+00
      4800      2 -0.6481082E+00  0.7071068E+00 -0.2827644E+00
      4800      3 -0.6482756E+00  0.7070005E+00 -0.2826466E+00
      4800      4 -0.6477859E+00  0.7071068E+00 -0.2835021E+00
      4800      5 -0.6480817E+00  0.7071068E+00 -0.2828253E+00
      4800      6 -0.6481748E+00  0.7070276E+00 -0.2828100E+00
      4800      7 -0.6486458E+00  0.7071068E+00 -0.2815290E+00
      4800      8 -0.6480597E+00  0.7071068E+00 -0.2828757E+00
      4800      9 -0.6480995E+00  0.7070538E+00 -0.2829169E+00
      4800     10 -0.6486005E+00  0.7071068E+00 -0.2816335E+00
      4800     11 -0.6480421E+00  0.7071068E+00 -0.2829159E+00
      4800     12 -0.6480497E+00  0.7070769E+00 -0.2829733E+00
      4800     13 -0.6483059E+00  0.7071068E+00 -0.2823110E+00
      4800     14 -0.6480282E+00  0.7071068E+00 -0.2829477E+00
      4800     15 -0.6480251E+00  0.7070972E+00 -0.2829789E+00
      4800     16 -0.6480964E+00  0.7071068E+00 -0.2827916E+00
      4800     17 -0.6480167E+00  0.7071068E+00 -0.2829741E+00
      4800     18 -0.6480256E+00  0.7071164E+00 -0.2829297E+00
      4800     19 -0.6479480E+00  0.7071068E+00 -0.2831314E+00
      4800     20 -0.6480062E+00  0.7071068E+00 -0.2829981E+00
      4800     21 -0.6480511E+00  0.7071367E+00 -0.2828206E+00
      4800     22 -0.6477372E+00  0.7071068E+00 -0.2836133E+00
      4800     23 -0.6479956E+00  0.7071068E+00 -0.2830224E+00
      4800     24 -0.6481013E+00  0.7071598E+00 -0.2826479E+00
      4800     25 -0.6474392E+00  0.7071068E+00 -0.2842930E+00
      4800     26 -0.6479839E+00  0.7071068E+00 -0.2830491E+00
      4800     27 -0.6481760E+00  0.7071859E+00 -0.2824109E+00
      4800     28 -0.6473911E+00  0.7071068E+00 -0.2844025E+00
      4800     29 -0.6479711E+00  0.7071068E+00 -0.2830785E+00
      4800     30 -0.6482750E+00  0.7072130E+00 -0.2821157E+00
      4800     31 -0.6482499E+00  0.7071068E+00 -0.2824396E+00

      5400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      5400      1 -0.5588203E+00  0.7071068E+00 -0.4332665E+00
      5400      2 -0.5588132E+00  0.7071068E+00 -0.4332757E+00
      5400      3 -0.5592495E+00  0.7070863E+00 -0.4327459E+00
      5400      4 -0.5590667E+00  0.7071068E+00 -0.4329485E+00
      5400      5 -0.5587964E+00  0.7071068E+00 -0.4332974E+00
      5400      6 -0.5590789E+00  0.7071210E+00 -0.4329095E+00
      5400      7 -0.5600548E+00  0.7071068E+00 -0.4316696E+00
      5400      8 -0.5587930E+00  0.7071068E+00 -0.4333018E+00
      5400      9 -0.5589514E+00  0.7071327E+00 -0.4330550E+00
      5400     10 -0.5595086E+00  0.7071068E+00 -0.4323773E+00
      5400     11 -0.5587993E+00  0.7071068E+00 -0.4332936E+00
      5400     12 -0.5588668E+00  0.7071284E+00 -0.4331713E+00
      5400     13 -0.5589728E+00  0.7071068E+00 -0.4330698E+00
      5400     14 -0.5588122E+00  0.7071068E+00 -0.4332770E+00
      5400     15 -0.5588251E+00  0.7071149E+00 -0.4332470E+00
      5400     16 -0.5588199E+00  0.7071068E+00 -0.4332670E+00
      5400     17 -0.5588292E+00  0.7071068E+00 -0.4332550E+00
      5400     18 -0.5588263E+00  0.7070986E+00 -0.4332721E+00
      5400     19 -0.5588206E+00  0.7071068E+00 -0.4332662E+00
      5400     20 -0.5588479E+00  0.7071068E+00 -0.4332309E+00
      5400     21 -0.5588706E+00  0.7070852E+00 -0.4332369E+00
      5400     22 -0.5586664E+00  0.7071068E+00 -0.4334649E+00
      5400     23 -0.5588659E+00  0.7071068E+00 -0.4332078E+00
      5400     24 -0.5589579E+00  0.7070809E+00 -0.4331313E+00
      5400     25 -0.5581272E+00  0.7071068E+00 -0.4341590E+00
      5400     26 -0.5588799E+00  0.7071068E+00 -0.4331897E+00
      5400     27 -0.5590882E+00  0.7070926E+00 -0.4329439E+00
      5400     28 -0.5575746E+00  0.7071068E+00 -0.4348684E+00
      5400     29 -0.5588862E+00  0.7071068E+00 -0.4331814E+00
      5400     30 -0.5592613E+00  0.7071273E+00 -0.4326637E+00
      5400     31 -0.5585602E+00  0.7071068E+00 -0.4336018E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1 -0.4354761E+00  0.7071068E+00 -0.5571002E+00
      6000      2 -0.4353745E+00  0.7071068E+00 -0.5571796E+00
      6000      3 -0.4360924E+00  0.7072995E+00 -0.5563729E+00
      6000      4 -0.4365192E+00  0.7071068E+00 -0.5562832E+00
      6000      5 -0.4353960E+00  0.7071068E+00 -0.5571627E+00
      6000      6 -0.4358493E+00  0.7072643E+00 -0.5566082E+00
      6000      7 -0.4370242E+00  0.7071068E+00 -0.5558866E+00
      6000      8 -0.4354187E+00  0.7071068E+00 -0.5571450E+00
      6000      9 -0.4356666E+00  0.7072179E+00 -0.5568100E+00
      6000     10 -0.4357896E+00  0.7071068E+00 -0.5568550E+00
      6000     11 -0.4354410E+00  0.7071068E+00 -0.5571276E+00
      6000     12 -0.4355446E+00  0.7071714E+00 -0.5569645E+00
      6000     13 -0.4352220E+00  0.7071068E+00 -0.5572987E+00
      6000     14 -0.4354638E+00  0.7071068E+00 -0.5571097E+00
      6000     15 -0.4354836E+00  0.7071278E+00 -0.5570675E+00
      6000     16 -0.4353284E+00  0.7071068E+00 -0.5572156E+00
      6000     17 -0.4354893E+00  0.7071068E+00 -0.5570898E+00
      6000     18 -0.4354838E+00  0.7070857E+00 -0.5571208E+00
      6000     19 -0.4356235E+00  0.7071068E+00 -0.5569849E+00
      6000     20 -0.4355203E+00  0.7071068E+00 -0.5570656E+00
      6000     21 -0.4355454E+00  0.7070422E+00 -0.5571279E+00
      6000     22 -0.4357280E+00  0.7071068E+00 -0.5569032E+00
      6000     23 -0.4355589E+00  0.7071068E+00 -0.5570354E+00
      6000     24 -0.4356687E+00  0.7069956E+00 -0.5570907E+00
      6000     25 -0.4351566E+00  0.7071068E+00 -0.5573497E+00
      6000     26 -0.4356060E+00  0.7071068E+00 -0.5569986E+00
      6000     27 -0.4358537E+00  0.7069492E+00 -0.5570048E+00
      6000     28 -0.4339127E+00  0.7071068E+00 -0.5583187E+00
      6000     29 -0.4356600E+00  0.7071068E+00 -0.5569563E+00
      6000     30 -0.4361007E+00  0.7069140E+00 -0.5568562E+00
      6000     31 -0.4344109E+00  0.7071068E+00 -0.5579311E+00

      6600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6600      1 -0.2855255E+00  0.7071068E+00 -0.6468966E+00
      6600      2 -0.2855923E+00  0.7071068E+00 -0.6468671E+00
      6600      3 -0.2863183E+00  0.7072200E+00 -0.6464223E+00
      6600      4 -0.2873926E+00  0.7071068E+00 -0.6460693E+00
      6600      5 -0.2855948E+00  0.7071068E+00 -0.6468660E+00
      6600      6 -0.2860057E+00  0.7071434E+00 -0.6466444E+00
      6600      7 -0.2868187E+00  0.7071068E+00 -0.6463242E+00
      6600      8 -0.2855820E+00  0.7071068E+00 -0.6468716E+00
      6600      9 -0.2857708E+00  0.7071036E+00 -0.6467917E+00
      6600     10 -0.2850851E+00  0.7071068E+00 -0.6470908E+00
      6600     11 -0.2855607E+00  0.7071068E+00 -0.6468811E+00
      6600     12 -0.2856140E+00  0.7070931E+00 -0.6468724E+00
      6600     13 -0.2848279E+00  0.7071068E+00 -0.6472040E+00
      6600     14 -0.2855367E+00  0.7071068E+00 -0.6468916E+00
      6600     15 -0.2855354E+00  0.7071003E+00 -0.6468993E+00
      6600     16 -0.2852615E+00  0.7071068E+00 -0.6470131E+00
      6600     17 -0.2855155E+00  0.7071068E+00 -0.6469010E+00
      6600     18 -0.2855351E+00  0.7071133E+00 -0.6468853E+00
      6600     19 -0.2857891E+00  0.7071068E+00 -0.6467802E+00
      6600     20 -0.2855019E+00  0.7071068E+00 -0.6469070E+00
      6600     21 -0.2856130E+00  0.7071204E+00 -0.6468430E+00
      6600     22 -0.2862203E+00  0.7071068E+00 -0.6465895E+00
      6600     23 -0.2855011E+00  0.7071068E+00 -0.6469073E+00
      6600     24 -0.2857692E+00  0.7071099E+00 -0.6467855E+00
      6600     25 -0.2859586E+00  0.7071068E+00 -0.6467053E+00
      6600     26 -0.2855194E+00  0.7071068E+00 -0.6468993E+00
      6600     27 -0.2860038E+00  0.7070701E+00 -0.6467253E+00
      6600     28 -0.2842153E+00  0.7071068E+00 -0.6474733E+00
      6600     29 -0.2855632E+00  0.7071068E+00 -0.6468800E+00
      6600     30 -0.2863170E+00  0.7069936E+00 -0.6466705E+00
      6600     31 -0.2836279E+00  0.7071068E+00 -0.6477308E+00

      7200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      7200      1 -0.1181300E+00  0.7071068E+00 -0.6971695E+00
      7200      2 -0.1183809E+00  0.7071068E+00 -0.6971269E+00
      7200      3 -0.1190610E+00  0.7069082E+00 -0.6972125E+00
      7200      4 -0.1205899E+00  0.7071068E+00 -0.6967482E+00
      7200      5 -0.1183134E+00  0.7071068E+00 -0.6971384E+00
      7200      6 -0.1186920E+00  0.7069192E+00 -0.6972642E+00
      7200      7 -0.1186376E+00  0.7071068E+00 -0.6970833E+00
      7200      8 -0.1182496E+00  0.7071068E+00 -0.6971492E+00
      7200      9 -0.1184158E+00  0.7069641E+00 -0.6972657E+00
      7200     10 -0.1169577E+00  0.7071068E+00 -0.6973671E+00
