# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      5  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      7  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      8  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     10  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     11  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     13  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     14  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     16  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     17  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     19  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     20  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     22  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     23  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     25  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     26  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     28  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     29  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     30  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     31  0.0000000E+00  0.0000000E+00  0.1000000E+01

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.2433161E-04  0.0000000E+00  0.1000000E+01
       600      2  0.1960590E-03  0.0000000E+00  0.1000000E+01
       600      3 -0.1949771E-04 -0.4041392E-04  0.1000000E+01
       600      4 -0.1142677E-02  0.0000000E+00  0.9999993E+00
       600      5  0.1659771E-03  0.0000000E+00  0.1000000E+01
       600      6 -0.2140740E-04 -0.3142346E-04  0.1000000E+01
       600      7 -0.1180796E-02  0.0000000E+00  0.9999993E+00
       600      8  0.1251900E-03  0.0000000E+00  0.1000000E+01
       600      9 -0.2283967E-04 -0.2244018E-04  0.1000000E+01
       600     10 -0.9894128E-03  0.0000000E+00  0.9999995E+00
       600     11  0.7358876E-04  0.0000000E+00  0.1000000E+01
       600     12 -0.2379451E-04 -0.1346205E-04  0.1000000E+01
       600     13 -0.6546665E-03  0.0000000E+00  0.9999998E+00
       600     14  0.1106286E-04  0.0000000E+00  0.1000000E+01
       600     15 -0.2427193E-04 -0.4487006E-05  0.1000000E+01
       600     16 -0.2425298E-03  0.0000000E+00  0.1000000E+01
       600     17 -0.6249904E-04  0.0000000E+00  0.1000000E+01
       600     18 -0.2427193E-04  0.4487006E-05  0.1000000E+01
       600     19  0.1938129E-03  0.0000000E+00  0.1000000E+01
       600     20 -0.1472087E-03  0.0000000E+00  0.1000000E+01
       600     21 -0.2379451E-04  0.1346205E-04  0.1000000E+01
       600     22  0.6055291E-03  0.0000000E+00  0.9999998E+00
       600     23 -0.2431775E-03  0.0000000E+00  0.1000000E+01
       600     24 -0.2283967E-04  0.2244018E-04  0.1000000E+01
       600     25  0.9394851E-03  0.0000000E+00  0.9999996E+00
       600     26 -0.3505164E-03  0.0000000E+00  0.9999999E+00
       600     27 -0.2140740E-04  0.3142346E-04  0.1000000E+01
       600     28  0.1129827E-02  0.0000000E+00  0.9999994E+00
       600     29 -0.4693346E-03  0.0000000E+00  0.9999999E+00
       600     30 -0.1949771E-04  0.4041392E-04  0.1000000E+01
       600     31  0.1090633E-02  0.0000000E+00  0.9999994E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.4866322E-04  0.0000000E+00  0.1000000E+01
      1200      2  0.9976682E-04  0.0000000E+00  0.1000000E+01
      1200      3 -0.3885627E-04  0.2988470E-04  0.1000000E+01
      1200      4 -0.2123652E-02  0.0000000E+00  0.9999977E+00
      1200      5  0.1059987E-03  0.0000000E+00  0.1000000E+01
      1200      6 -0.4273063E-04  0.2328112E-04  0.1000000E+01
      1200      7 -0.2066126E-02  0.0000000E+00  0.9999979E+00
      1200      8  0.8970144E-04  0.0000000E+00  0.1000000E+01
      1200      9 -0.4563639E-04  0.1664942E-04  0.1000000E+01
      1200     10 -0.1634335E-02  0.0000000E+00  0.9999987E+00
      1200     11  0.5102105E-04  0.0000000E+00  0.1000000E+01
      1200     12 -0.4757356E-04  0.9997660E-05  0.1000000E+01
      1200     13 -0.1036801E-02  0.0000000E+00  0.9999995E+00
      1200     14 -0.9902667E-05  0.0000000E+00  0.1000000E+01
      1200     15 -0.4854215E-04  0.3333888E-05  0.1000000E+01
      1200     16 -0.3820336E-03  0.0000000E+00  0.9999999E+00
      1200     17 -0.9293378E-04  0.0000000E+00  0.1000000E+01
      1200     18 -0.4854215E-04 -0.3333888E-05  0.1000000E+01
      1200     19  0.2846655E-03  0.0000000E+00  0.1000000E+01
      1200     20 -0.1979376E-03  0.0000000E+00  0.1000000E+01
      1200     21 -0.4757356E-04 -0.9997660E-05  0.1000000E+01
      1200     22  0.9390954E-03  0.0000000E+00  0.9999996E+00
      1200     23 -0.3247779E-03  0.0000000E+00  0.9999999E+00
      1200     24 -0.4563639E-04 -0.1664942E-04  0.1000000E+01
      1200     25  0.1535932E-02  0.0000000E+00  0.9999988E+00
      1200     26 -0.4733149E-03  0.0000000E+00  0.9999999E+00
      1200     27 -0.4273063E-04 -0.2328112E-04  0.1000000E+01
      1200     28  0.1966618E-02  0.0000000E+00  0.9999981E+00
      1200     29 -0.6434018E-03  0.0000000E+00  0.9999998E+00
      1200     30 -0.3885627E-04 -0.2988470E-04  0.1000000E+01
      1200     31  0.2022571E-02  0.0000000E+00  0.9999980E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.7299483E-04  0.0000000E+00  0.1000000E+01
      1800      2 -0.3228095E-03  0.0000000E+00  0.9999999E+00
      1800      3 -0.5799663E-04  0.1831239E-04  0.1000000E+01
      1800      4 -0.2816174E-02  0.0000000E+00  0.9999960E+00
      1800      5 -0.2072901E-03  0.0000000E+00  0.1000000E+01
      1800      6 -0.6392185E-04  0.1417291E-04  0.1000000E+01
      1800      7 -0.2446368E-02  0.0000000E+00  0.9999970E+00
      1800      8 -0.1265224E-03  0.0000000E+00  0.1000000E+01
      1800      9 -0.6836576E-04  0.1008594E-04  0.1000000E+01
      1800     10 -0.1719033E-02  0.0000000E+00  0.9999985E+00
      1800     11 -0.7994958E-04  0.0000000E+00  0.1000000E+01
      1800     12 -0.7132836E-04  0.6036528E-05  0.1000000E+01
      1800     13 -0.9935992E-03  0.0000000E+00  0.9999995E+00
      1800     14 -0.6701778E-04  0.0000000E+00  0.1000000E+01
      1800     15 -0.7280967E-04  0.2009669E-05  0.1000000E+01
      1800     16 -0.3643908E-03  0.0000000E+00  0.9999999E+00
      1800     17 -0.8717533E-04  0.0000000E+00  0.1000000E+01
      1800     18 -0.7280967E-04 -0.2009669E-05  0.1000000E+01
      1800     19  0.2183607E-03  0.0000000E+00  0.1000000E+01
      1800     20 -0.1398713E-03  0.0000000E+00  0.1000000E+01
      1800     21 -0.7132836E-04 -0.6036528E-05  0.1000000E+01
      1800     22  0.8472626E-03  0.0000000E+00  0.9999996E+00
      1800     23 -0.2245540E-03  0.0000000E+00  0.1000000E+01
      1800     24 -0.6836576E-04 -0.1008594E-04  0.1000000E+01
      1800     25  0.1572144E-02  0.0000000E+00  0.9999988E+00
      1800     26 -0.3406698E-03  0.0000000E+00  0.9999999E+00
      1800     27 -0.6392185E-04 -0.1417291E-04  0.1000000E+01
      1800     28  0.2298637E-02  0.0000000E+00  0.9999974E+00
      1800     29 -0.4876622E-03  0.0000000E+00  0.9999999E+00
