# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.1720505E-04  0.7071068E+00  0.7071068E+00
       600      2  0.2155129E-03  0.7071068E+00  0.7071067E+00
       600      3 -0.1731088E-04  0.7070782E+00  0.7071354E+00
       600      4 -0.8076435E-03  0.7071068E+00  0.7071063E+00
       600      5  0.1640063E-03  0.7071068E+00  0.7071068E+00
       600      6 -0.1724831E-04  0.7070846E+00  0.7071290E+00
       600      7 -0.8347205E-03  0.7071068E+00  0.7071063E+00
       600      8  0.1123899E-03  0.7071068E+00  0.7071068E+00
       600      9 -0.1720807E-04  0.7070909E+00  0.7071226E+00
       600     10 -0.6994980E-03  0.7071068E+00  0.7071064E+00
       600     11  0.6065260E-04  0.7071068E+00  0.7071068E+00
       600     12 -0.1719014E-04  0.7070973E+00  0.7071163E+00
       600     13 -0.4628734E-03  0.7071068E+00  0.7071066E+00
       600     14  0.8782939E-05  0.7071068E+00  0.7071068E+00
       600     15 -0.1719450E-04  0.7071036E+00  0.7071100E+00
       600     16 -0.1714892E-03  0.7071068E+00  0.7071068E+00
       600     17 -0.4323035E-04  0.7071068E+00  0.7071068E+00
       600     18 -0.1722116E-04  0.7071100E+00  0.7071036E+00
       600     19  0.1370517E-03  0.7071068E+00  0.7071068E+00
       600     20 -0.9539854E-04  0.7071068E+00  0.7071068E+00
       600     21 -0.1727009E-04  0.7071163E+00  0.7070973E+00
       600     22  0.4282209E-03  0.7071068E+00  0.7071067E+00
       600     23 -0.1477329E-03  0.7071068E+00  0.7071068E+00
       600     24 -0.1734130E-04  0.7071226E+00  0.7070909E+00
       600     25  0.6644446E-03  0.7071068E+00  0.7071065E+00
       600     26 -0.2002446E-03  0.7071068E+00  0.7071068E+00
       600     27 -0.1743476E-04  0.7071290E+00  0.7070846E+00
       600     28  0.7991479E-03  0.7071068E+00  0.7071063E+00
       600     29 -0.2529447E-03  0.7071068E+00  0.7071067E+00
       600     30 -0.1755048E-04  0.7071354E+00  0.7070782E+00
       600     31  0.7715594E-03  0.7071068E+00  0.7071064E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.3441009E-04  0.7071068E+00  0.7071068E+00
      1200      2  0.2275210E-03  0.7071068E+00  0.7071067E+00
      1200      3 -0.3459089E-04  0.7071279E+00  0.7070856E+00
      1200      4 -0.1501208E-02  0.7071068E+00  0.7071052E+00
      1200      5  0.1697377E-03  0.7071068E+00  0.7071068E+00
      1200      6 -0.3449380E-04  0.7071232E+00  0.7070903E+00
      1200      7 -0.1460721E-02  0.7071068E+00  0.7071053E+00
      1200      8  0.1117010E-03  0.7071068E+00  0.7071068E+00
      1200      9 -0.3442921E-04  0.7071186E+00  0.7070950E+00
      1200     10 -0.1155524E-02  0.7071068E+00  0.7071058E+00
      1200     11  0.5342453E-04  0.7071068E+00  0.7071068E+00
      1200     12 -0.3439714E-04  0.7071138E+00  0.7070997E+00
      1200     13 -0.7330833E-03  0.7071068E+00  0.7071064E+00
      1200     14 -0.5078178E-05  0.7071068E+00  0.7071068E+00
      1200     15 -0.3439763E-04  0.7071091E+00  0.7071044E+00
      1200     16 -0.2701333E-03  0.7071068E+00  0.7071067E+00
      1200     17 -0.6379343E-04  0.7071068E+00  0.7071068E+00
      1200     18 -0.3443070E-04  0.7071044E+00  0.7071091E+00
      1200     19  0.2012942E-03  0.7071068E+00  0.7071068E+00
      1200     20 -0.1227075E-03  0.7071068E+00  0.7071068E+00
      1200     21 -0.3449639E-04  0.7070997E+00  0.7071139E+00
      1200     22  0.6640903E-03  0.7071068E+00  0.7071065E+00
      1200     23 -0.1818065E-03  0.7071068E+00  0.7071068E+00
      1200     24 -0.3459470E-04  0.7070950E+00  0.7071186E+00
      1200     25  0.1086210E-02  0.7071068E+00  0.7071059E+00
      1200     26 -0.2410765E-03  0.7071068E+00  0.7071067E+00
      1200     27 -0.3472566E-04  0.7070903E+00  0.7071232E+00
      1200     28  0.1390898E-02  0.7071068E+00  0.7071054E+00
      1200     29 -0.3005033E-03  0.7071068E+00  0.7071067E+00
      1200     30 -0.3488928E-04  0.7070856E+00  0.7071279E+00
      1200     31  0.1430667E-02  0.7071068E+00  0.7071053E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.5161514E-04  0.7071068E+00  0.7071068E+00
      1800      2  0.1002033E-04  0.7071068E+00  0.7071068E+00
      1800      3 -0.5187505E-04  0.7071197E+00  0.7070939E+00
      1800      4 -0.1990838E-02  0.7071068E+00  0.7071040E+00
      1800      5 -0.3120701E-05  0.7071068E+00  0.7071068E+00
      1800      6 -0.5177109E-04  0.7071168E+00  0.7070968E+00
      1800      7 -0.1729565E-02  0.7071068E+00  0.7071047E+00
      1800      8 -0.1662419E-04  0.7071068E+00  0.7071068E+00
      1800      9 -0.5169353E-04  0.7071139E+00  0.7070997E+00
      1800     10 -0.1215395E-02  0.7071068E+00  0.7071057E+00
      1800     11 -0.3043629E-04  0.7071068E+00  0.7071068E+00
      1800     12 -0.5164237E-04  0.7071110E+00  0.7071025E+00
      1800     13 -0.7025256E-03  0.7071068E+00  0.7071064E+00
      1800     14 -0.4450309E-04  0.7071068E+00  0.7071068E+00
      1800     15 -0.5161761E-04  0.7071082E+00  0.7071054E+00
      1800     16 -0.2576569E-03  0.7071068E+00  0.7071067E+00
      1800     17 -0.5877061E-04  0.7071068E+00  0.7071068E+00
      1800     18 -0.5161926E-04  0.7071054E+00  0.7071082E+00
      1800     19  0.1544107E-03  0.7071068E+00  0.7071068E+00
      1800     20 -0.7318474E-04  0.7071068E+00  0.7071068E+00
      1800     21 -0.5164732E-04  0.7071025E+00  0.7071110E+00
      1800     22  0.5991609E-03  0.7071068E+00  0.7071065E+00
      1800     23 -0.8769126E-04  0.7071068E+00  0.7071068E+00
      1800     24 -0.5170178E-04  0.7070997E+00  0.7071139E+00
      1800     25  0.1111823E-02  0.7071068E+00  0.7071059E+00
      1800     26 -0.1022358E-03  0.7071068E+00  0.7071068E+00
      1800     27 -0.5178266E-04  0.7070968E+00  0.7071168E+00
      1800     28  0.1625672E-02  0.7071068E+00  0.7071049E+00
      1800     29 -0.1167637E-03  0.7071068E+00  0.7071068E+00
      1800     30 -0.5188996E-04  0.7070938E+00  0.7071197E+00
      1800     31  0.1886299E-02  0.7071068E+00  0.7071043E+00

      2400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2400      1 -0.6882018E-04  0.7071068E+00  0.7071068E+00
      2400      2 -0.2620059E-03  0.7071068E+00  0.7071067E+00
      2400      3 -0.6882116E-04  0.7070761E+00  0.7071375E+00
      2400      4 -0.2222268E-02  0.7071068E+00  0.7071033E+00
      2400      5 -0.2187164E-03  0.7071068E+00  0.7071067E+00
      2400      6 -0.6880627E-04  0.7070829E+00  0.7071307E+00
      2400      7 -0.1585338E-02  0.7071068E+00  0.7071050E+00
      2400      8 -0.1756762E-03  0.7071068E+00  0.7071068E+00
      2400      9 -0.6879979E-04  0.7070897E+00  0.7071238E+00
      2400     10 -0.8665844E-03  0.7071068E+00  0.7071063E+00
      2400     11 -0.1328326E-03  0.7071068E+00  0.7071068E+00
      2400     12 -0.6880168E-04  0.7070965E+00  0.7071170E+00
      2400     13 -0.3926001E-03  0.7071068E+00  0.7071067E+00
      2400     14 -0.9013277E-04  0.7071068E+00  0.7071068E+00
      2400     15 -0.6881193E-04  0.7071034E+00  0.7071102E+00
      2400     16 -0.1482870E-03  0.7071068E+00  0.7071068E+00
      2400     17 -0.4752357E-04  0.7071068E+00  0.7071068E+00
      2400     18 -0.6883051E-04  0.7071102E+00  0.7071034E+00
      2400     19  0.1059928E-04  0.7071068E+00  0.7071068E+00
      2400     20 -0.4951534E-05  0.7071068E+00  0.7071068E+00
      2400     21 -0.6885740E-04  0.7071170E+00  0.7070965E+00
      2400     22  0.2545558E-03  0.7071068E+00  0.7071067E+00
      2400     23  0.3763692E-04  0.7071068E+00  0.7071068E+00
      2400     24 -0.6889257E-04  0.7071238E+00  0.7070897E+00
      2400     25  0.7279311E-03  0.7071068E+00  0.7071064E+00
      2400     26  0.8029544E-04  0.7071068E+00  0.7071068E+00
      2400     27 -0.6893602E-04  0.7071307E+00  0.7070829E+00
      2400     28  0.1445933E-02  0.7071068E+00  0.7071053E+00
      2400     29  0.1230776E-03  0.7071068E+00  0.7071068E+00
      2400     30 -0.6898772E-04  0.7071375E+00  0.7070761E+00
      2400     31  0.2081859E-02  0.7071068E+00  0.7071037E+00

      3000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3000      1 -0.8602523E-04  0.7071068E+00  0.7071068E+00
      3000      2 -0.3654892E-03  0.7071068E+00  0.7071067E+00
      3000      3 -0.8569350E-04  0.7071166E+00  0.7070970E+00
      3000      4 -0.2175172E-02  0.7071068E+00  0.7071034E+00
      3000      5 -0.3036190E-03  0.7071068E+00  0.7071067E+00
      3000      6 -0.8579546E-04  0.7071145E+00  0.7070991E+00
      3000      7 -0.1069800E-02  0.7071068E+00  0.7071060E+00
      3000      8 -0.2416041E-03  0.7071068E+00  0.7071067E+00
      3000      9 -0.8588127E-04  0.7071123E+00  0.7071012E+00
      3000     10 -0.2381429E-03  0.7071068E+00  0.7071067E+00
      3000     11 -0.1794588E-03  0.7071068E+00  0.7071068E+00
      3000     12 -0.8595095E-04  0.7071101E+00  0.7071034E+00
      3000     13  0.5560623E-04  0.7071068E+00  0.7071068E+00
      3000     14 -0.1171963E-03  0.7071068E+00  0.7071068E+00
      3000     15 -0.8600450E-04  0.7071079E+00  0.7071057E+00
      3000     16 -0.1833152E-05  0.7071068E+00  0.7071068E+00
      3000     17 -0.5482965E-04  0.7071068E+00  0.7071068E+00
      3000     18 -0.8604193E-04  0.7071057E+00  0.7071079E+00
      3000     19 -0.1702858E-03  0.7071068E+00  0.7071068E+00
      3000     20  0.7628715E-05  0.7071068E+00  0.7071068E+00
      3000     21 -0.8606323E-04  0.7071034E+00  0.7071101E+00
      3000     22 -0.2282807E-03  0.7071068E+00  0.7071067E+00
      3000     23  0.7016632E-04  0.7071068E+00  0.7071068E+00
      3000     24 -0.8606840E-04  0.7071012E+00  0.7071123E+00
      3000     25  0.6431890E-04  0.7071068E+00  0.7071068E+00
      3000     26  0.1327707E-03  0.7071068E+00  0.7071068E+00
      3000     27 -0.8605744E-04  0.7070991E+00  0.7071145E+00
      3000     28  0.8941647E-03  0.7071068E+00  0.7071062E+00
      3000     29  0.1954289E-03  0.7071068E+00  0.7071068E+00
      3000     30 -0.8603035E-04  0.7070970E+00  0.7071166E+00
      3000     31  0.1997061E-02  0.7071068E+00  0.7071040E+00

      3600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3600      1 -0.1032303E-03  0.7071068E+00  0.7071068E+00
      3600      2 -0.2247853E-03  0.7071068E+00  0.7071067E+00
      3600      3 -0.1028585E-03  0.7071302E+00  0.7070833E+00
      3600      4 -0.1858335E-02  0.7071068E+00  0.7071043E+00
      3600      5 -0.1985760E-03  0.7071068E+00  0.7071068E+00
      3600      6 -0.1030004E-03  0.7071250E+00  0.7070886E+00
      3600      7 -0.3126591E-03  0.7071068E+00  0.7071067E+00
      3600      8 -0.1718291E-03  0.7071068E+00  0.7071068E+00
      3600      9 -0.1031084E-03  0.7071197E+00  0.7070938E+00
      3600     10  0.4417805E-03  0.7071068E+00  0.7071066E+00
      3600     11 -0.1446393E-03  0.7071068E+00  0.7071068E+00
      3600     12 -0.1031825E-03  0.7071145E+00  0.7070990E+00
      3600     13  0.4416132E-03  0.7071068E+00  0.7071066E+00
      3600     14 -0.1171009E-03  0.7071068E+00  0.7071068E+00
      3600     15 -0.1032228E-03  0.7071094E+00  0.7071042E+00
      3600     16  0.1046606E-03  0.7071068E+00  0.7071068E+00
      3600     17 -0.8930771E-04  0.7071068E+00  0.7071068E+00
      3600     18 -0.1032293E-03  0.7071042E+00  0.7071094E+00
      3600     19 -0.3111809E-03  0.7071068E+00  0.7071067E+00
      3600     20 -0.6135358E-04  0.7071068E+00  0.7071068E+00
      3600     21 -0.1032021E-03  0.7070990E+00  0.7071145E+00
      3600     22 -0.6486455E-03  0.7071068E+00  0.7071065E+00
      3600     23 -0.3333220E-04  0.7071068E+00  0.7071068E+00
      3600     24 -0.1031412E-03  0.7070938E+00  0.7071197E+00
      3600     25 -0.6500656E-03  0.7071068E+00  0.7071065E+00
      3600     26 -0.5337388E-05  0.7071068E+00  0.7071068E+00
      3600     27 -0.1030468E-03  0.7070886E+00  0.7071250E+00
      3600     28  0.1018120E-03  0.7071068E+00  0.7071068E+00
      3600     29  0.2253677E-04  0.7071068E+00  0.7071068E+00
      3600     30 -0.1029189E-03  0.7070833E+00  0.7071302E+00
      3600     31  0.1643153E-02  0.7071068E+00  0.7071049E+00

      4200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4200      1 -0.1204353E-03  0.7071068E+00  0.7071068E+00
      4200      2  0.2272663E-04  0.7071068E+00  0.7071068E+00
      4200      3 -0.1200119E-03  0.7070796E+00  0.7071339E+00
      4200      4 -0.1309184E-02  0.7071068E+00  0.7071056E+00
      4200      5 -0.9946741E-05  0.7071068E+00  0.7071068E+00
      4200      6 -0.1201708E-03  0.7070856E+00  0.7071279E+00
      4200      7  0.4951205E-03  0.7071068E+00  0.7071066E+00
      4200      8 -0.4204021E-04  0.7071068E+00  0.7071068E+00
      4200      9 -0.1202927E-03  0.7070916E+00  0.7071219E+00
      4200     10  0.9274579E-03  0.7071068E+00  0.7071062E+00
      4200     11 -0.7366010E-04  0.7071068E+00  0.7071068E+00
      4200     12 -0.1203776E-03  0.7070977E+00  0.7071159E+00
      4200     13  0.5929270E-03  0.7071068E+00  0.7071065E+00
      4200     14 -0.1049131E-03  0.7071068E+00  0.7071068E+00
      4200     15 -0.1204254E-03  0.7071037E+00  0.7071098E+00
      4200     16  0.1132651E-03  0.7071068E+00  0.7071068E+00
      4200     17 -0.1359059E-03  0.7071068E+00  0.7071068E+00
      4200     18 -0.1204360E-03  0.7071098E+00  0.7071037E+00
      4200     19 -0.3542046E-03  0.7071068E+00  0.7071067E+00
      4200     20 -0.1667453E-03  0.7071068E+00  0.7071068E+00
      4200     21 -0.1204094E-03  0.7071159E+00  0.7070977E+00
      4200     22 -0.8344205E-03  0.7071068E+00  0.7071063E+00
      4200     23 -0.1975378E-03  0.7071068E+00  0.7071068E+00
      4200     24 -0.1203454E-03  0.7071219E+00  0.7070916E+00
      4200     25 -0.1170196E-02  0.7071068E+00  0.7071058E+00
      4200     26 -0.2283896E-03  0.7071068E+00  0.7071067E+00
      4200     27 -0.1202441E-03  0.7071279E+00  0.7070856E+00
      4200     28 -0.7404673E-03  0.7071068E+00  0.7071064E+00
      4200     29 -0.2594061E-03  0.7071068E+00  0.7071067E+00
      4200     30 -0.1201052E-03  0.7071339E+00  0.7070796E+00
      4200     31  0.1058929E-02  0.7071068E+00  0.7071060E+00

      4800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4800      1 -0.1376404E-03  0.7071068E+00  0.7071068E+00
      4800      2  0.1463913E-03  0.7071068E+00  0.7071068E+00
      4800      3 -0.1371981E-03  0.7071034E+00  0.7071101E+00
      4800      4 -0.5959065E-03  0.7071068E+00  0.7071065E+00
      4800      5  0.8298617E-04  0.7071068E+00  0.7071068E+00
      4800      6 -0.1373429E-03  0.7071043E+00  0.7071093E+00
      4800      7  0.1149495E-02  0.7071068E+00  0.7071059E+00
      4800      8  0.1975421E-04  0.7071068E+00  0.7071068E+00
      4800      9 -0.1374611E-03  0.7071051E+00  0.7071085E+00
      4800     10  0.1045123E-02  0.7071068E+00  0.7071060E+00
      4800     11 -0.4331526E-04  0.7071068E+00  0.7071068E+00
      4800     12 -0.1375528E-03  0.7071058E+00  0.7071078E+00
      4800     13  0.4387369E-03  0.7071068E+00  0.7071066E+00
      4800     14 -0.1062339E-03  0.7071068E+00  0.7071068E+00
      4800     15 -0.1376178E-03  0.7071064E+00  0.7071071E+00
      4800     16  0.1221564E-04  0.7071068E+00  0.7071068E+00
      4800     17 -0.1690137E-03  0.7071068E+00  0.7071068E+00
      4800     18 -0.1376563E-03  0.7071071E+00  0.7071064E+00
      4800     19 -0.2876026E-03  0.7071068E+00  0.7071067E+00
      4800     20 -0.2316666E-03  0.7071068E+00  0.7071067E+00
      4800     21 -0.1376682E-03  0.7071078E+00  0.7071058E+00
      4800     22 -0.7149626E-03  0.7071068E+00  0.7071064E+00
      4800     23 -0.2942041E-03  0.7071068E+00  0.7071067E+00
      4800     24 -0.1376537E-03  0.7071085E+00  0.7071051E+00
      4800     25 -0.1323045E-02  0.7071068E+00  0.7071055E+00
      4800     26 -0.3566362E-03  0.7071068E+00  0.7071067E+00
      4800     27 -0.1376126E-03  0.7071093E+00  0.7071043E+00
      4800     28 -0.1430258E-02  0.7071068E+00  0.7071053E+00
      4800     29 -0.4189715E-03  0.7071068E+00  0.7071067E+00
      4800     30 -0.1375450E-03  0.7071101E+00  0.7071034E+00
      4800     31  0.3110506E-03  0.7071068E+00  0.7071067E+00

      5400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      5400      1 -0.1548454E-03  0.7071068E+00  0.7071068E+00
      5400      2  0.2282754E-04  0.7071068E+00  0.7071068E+00
      5400      3 -0.1547414E-03  0.7071364E+00  0.7070771E+00
      5400      4  0.1853151E-03  0.7071068E+00  0.7071068E+00
      5400      5 -0.1609108E-04  0.7071068E+00  0.7071068E+00
      5400      6 -0.1547720E-03  0.7071298E+00  0.7070837E+00
      5400      7  0.1487358E-02  0.7071068E+00  0.7071052E+00
      5400      8 -0.5543614E-04  0.7071068E+00  0.7071068E+00
      5400      9 -0.1547983E-03  0.7071232E+00  0.7070903E+00
      5400     10  0.7497632E-03  0.7071068E+00  0.7071064E+00
      5400     11 -0.9508260E-04  0.7071068E+00  0.7071068E+00
      5400     12 -0.1548203E-03  0.7071166E+00  0.7070969E+00
      5400     13  0.3825148E-04  0.7071068E+00  0.7071068E+00
      5400     14 -0.1349061E-03  0.7071068E+00  0.7071068E+00
      5400     15 -0.1548381E-03  0.7071101E+00  0.7071035E+00
      5400     16 -0.1588931E-03  0.7071068E+00  0.7071068E+00
      5400     17 -0.1747825E-03  0.7071068E+00  0.7071068E+00
      5400     18 -0.1548517E-03  0.7071035E+00  0.7071100E+00
      5400     19 -0.1509219E-03  0.7071068E+00  0.7071068E+00
      5400     20 -0.2145875E-03  0.7071068E+00  0.7071068E+00
      5400     21 -0.1548613E-03  0.7070969E+00  0.7071166E+00
      5400     22 -0.3490986E-03  0.7071068E+00  0.7071067E+00
      5400     23 -0.2541963E-03  0.7071068E+00  0.7071067E+00
      5400     24 -0.1548669E-03  0.7070904E+00  0.7071232E+00
      5400     25 -0.1062884E-02  0.7071068E+00  0.7071060E+00
      5400     26 -0.2934829E-03  0.7071068E+00  0.7071067E+00
      5400     27 -0.1548685E-03  0.7070838E+00  0.7071298E+00
      5400     28 -0.1804257E-02  0.7071068E+00  0.7071045E+00
      5400     29 -0.3323197E-03  0.7071068E+00  0.7071067E+00
      5400     30 -0.1548662E-03  0.7070771E+00  0.7071364E+00
      5400     31 -0.5061149E-03  0.7071068E+00  0.7071066E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1 -0.1720505E-03  0.7071068E+00  0.7071068E+00
      6000      2 -0.2558753E-03  0.7071068E+00  0.7071067E+00
      6000      3 -0.1722059E-03  0.7070882E+00  0.7071253E+00
      6000      4  0.9228716E-03  0.7071068E+00  0.7071062E+00
      6000      5 -0.2362205E-03  0.7071068E+00  0.7071067E+00
      6000      6 -0.1721411E-03  0.7070922E+00  0.7071213E+00
      6000      7  0.1423100E-02  0.7071068E+00  0.7071054E+00
      6000      8 -0.2172952E-03  0.7071068E+00  0.7071068E+00
      6000      9 -0.1720936E-03  0.7070963E+00  0.7071172E+00
      6000     10  0.1369236E-03  0.7071068E+00  0.7071068E+00
      6000     11 -0.1989287E-03  0.7071068E+00  0.7071068E+00
      6000     12 -0.1720634E-03  0.7071005E+00  0.7071131E+00
      6000     13 -0.4446223E-03  0.7071068E+00  0.7071066E+00
      6000     14 -0.1809490E-03  0.7071068E+00  0.7071068E+00
      6000     15 -0.1720505E-03  0.7071047E+00  0.7071089E+00
      6000     16 -0.3278722E-03  0.7071068E+00  0.7071067E+00
      6000     17 -0.1631839E-03  0.7071068E+00  0.7071068E+00
      6000     18 -0.1720547E-03  0.7071089E+00  0.7071047E+00
      6000     19 -0.1635097E-04  0.7071068E+00  0.7071068E+00
      6000     20 -0.1454601E-03  0.7071068E+00  0.7071068E+00
      6000     21 -0.1720762E-03  0.7071131E+00  0.7071005E+00
      6000     22  0.9936799E-04  0.7071068E+00  0.7071068E+00
      6000     23 -0.1276044E-03  0.7071068E+00  0.7071068E+00
      6000     24 -0.1721147E-03  0.7071172E+00  0.7070963E+00
      6000     25 -0.4845564E-03  0.7071068E+00  0.7071066E+00
      6000     26 -0.1094433E-03  0.7071068E+00  0.7071068E+00
      6000     27 -0.1721703E-03  0.7071213E+00  0.7070922E+00
      6000     28 -0.1775084E-02  0.7071068E+00  0.7071046E+00
      6000     29 -0.9080340E-04  0.7071068E+00  0.7071068E+00
      6000     30 -0.1722429E-03  0.7071253E+00  0.7070882E+00
      6000     31 -0.1280101E-02  0.7071068E+00  0.7071056E+00

      6600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6600      1 -0.1892555E-03  0.7071068E+00  0.7071068E+00
      6600      2 -0.4617055E-03  0.7071068E+00  0.7071066E+00
      6600      3 -0.1893757E-03  0.7070909E+00  0.7071227E+00
      6600      4  0.1509614E-02  0.7071068E+00  0.7071052E+00
      6600      5 -0.4005631E-03  0.7071068E+00  0.7071067E+00
      6600      6 -0.1893000E-03  0.7070946E+00  0.7071190E+00
      6600      7  0.9639238E-03  0.7071068E+00  0.7071061E+00
      6600      8 -0.3398094E-03  0.7071068E+00  0.7071067E+00
      6600      9 -0.1892523E-03  0.7070981E+00  0.7071154E+00
      6600     10 -0.5867444E-03  0.7071068E+00  0.7071065E+00
      6600     11 -0.2793890E-03  0.7071068E+00  0.7071067E+00
      6600     12 -0.1892327E-03  0.7071016E+00  0.7071119E+00
      6600     13 -0.8109734E-03  0.7071068E+00  0.7071063E+00
      6600     14 -0.2192437E-03  0.7071068E+00  0.7071068E+00
      6600     15 -0.1892409E-03  0.7071051E+00  0.7071085E+00
      6600     16 -0.4237675E-03  0.7071068E+00  0.7071067E+00
      6600     17 -0.1593134E-03  0.7071068E+00  0.7071068E+00
      6600     18 -0.1892770E-03  0.7071085E+00  0.7071050E+00
      6600     19  0.4511131E-04  0.7071068E+00  0.7071068E+00
      6600     20 -0.9953656E-04  0.7071068E+00  0.7071068E+00
      6600     21 -0.1893408E-03  0.7071119E+00  0.7071016E+00
      6600     22  0.4311450E-03  0.7071068E+00  0.7071067E+00
      6600     23 -0.3985197E-04  0.7071068E+00  0.7071068E+00
      6600     24 -0.1894324E-03  0.7071154E+00  0.7070981E+00
      6600     25  0.2045517E-03  0.7071068E+00  0.7071068E+00
      6600     26  0.1980085E-04  0.7071068E+00  0.7071068E+00
      6600     27 -0.1895516E-03  0.7071190E+00  0.7070945E+00
      6600     28 -0.1349787E-02  0.7071068E+00  0.7071055E+00
      6600     29  0.7948038E-04  0.7071068E+00  0.7071068E+00
      6600     30 -0.1896984E-03  0.7071227E+00  0.7070908E+00
      6600     31 -0.1901585E-02  0.7071068E+00  0.7071042E+00

      7200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      7200      1 -0.2064606E-03  0.7071068E+00  0.7071068E+00
      7200      2 -0.4303155E-03  0.7071068E+00  0.7071067E+00
      7200      3 -0.2065970E-03  0.7071371E+00  0.7070764E+00
      7200      4  0.1862526E-02  0.7071068E+00  0.7071043E+00
      7200      5 -0.3809601E-03  0.7071068E+00  0.7071067E+00
      7200      6 -0.2065263E-03  0.7071304E+00  0.7070831E+00
      7200      7  0.2122899E-03  0.7071068E+00  0.7071068E+00
      7200      8 -0.3312679E-03  0.7071068E+00  0.7071067E+00
      7200      9 -0.2064787E-03  0.7071237E+00  0.7070899E+00
      7200     10 -0.1173034E-02  0.7071068E+00  0.7071058E+00
      7200     11 -0.2813766E-03  0.7071068E+00  0.7071067E+00
      7200     12 -0.2064540E-03  0.7071169E+00  0.7070966E+00
      7200     13 -0.9121281E-03  0.7071068E+00  0.7071062E+00
      7200     14 -0.2314209E-03  0.7071068E+00  0.7071068E+00
      7200     15 -0.2064526E-03  0.7071102E+00  0.7071034E+00
      7200     16 -0.4098777E-03  0.7071068E+00  0.7071067E+00
      7200     17 -0.1815339E-03  0.7071068E+00  0.7071068E+00
