# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.1720505E-04  0.7071068E+00  0.7071068E+00
       600      2 -0.2527719E-03  0.7071068E+00  0.7071067E+00
       600      3 -0.1789182E-04  0.7070908E+00  0.7071228E+00
       600      4 -0.1034231E-02  0.7071068E+00  0.7071060E+00
       600      5 -0.1908024E-03  0.7071068E+00  0.7071068E+00
       600      6 -0.1806159E-04  0.7070943E+00  0.7071192E+00
       600      7 -0.9988799E-03  0.7071068E+00  0.7071061E+00
       600      8 -0.1343448E-03  0.7071068E+00  0.7071068E+00
       600      9 -0.1804693E-04  0.7070979E+00  0.7071157E+00
       600     10 -0.8088129E-03  0.7071068E+00  0.7071063E+00
       600     11 -0.8338245E-04  0.7071068E+00  0.7071068E+00
       600     12 -0.1784809E-04  0.7071014E+00  0.7071121E+00
       600     13 -0.5249198E-03  0.7071068E+00  0.7071066E+00
       600     14 -0.3789822E-04  0.7071068E+00  0.7071068E+00
       600     15 -0.1746533E-04  0.7071050E+00  0.7071086E+00
       600     16 -0.1915535E-03  0.7071068E+00  0.7071068E+00
       600     17  0.2125049E-05  0.7071068E+00  0.7071068E+00
       600     18 -0.1689888E-04  0.7071086E+00  0.7071050E+00
       600     19  0.1571311E-03  0.7071068E+00  0.7071068E+00
       600     20  0.3670461E-04  0.7071068E+00  0.7071068E+00
       600     21 -0.1614901E-04  0.7071121E+00  0.7071015E+00
       600     22  0.4903971E-03  0.7071068E+00  0.7071066E+00
       600     23  0.6585766E-04  0.7071068E+00  0.7071068E+00
       600     24 -0.1521596E-04  0.7071157E+00  0.7070979E+00
       600     25  0.7740807E-03  0.7071068E+00  0.7071064E+00
       600     26  0.8960129E-04  0.7071068E+00  0.7071068E+00
       600     27 -0.1409999E-04  0.7071192E+00  0.7070943E+00
       600     28  0.9638128E-03  0.7071068E+00  0.7071061E+00
       600     29  0.1079524E-03  0.7071068E+00  0.7071068E+00
       600     30 -0.1280134E-04  0.7071228E+00  0.7070908E+00
       600     31  0.9986822E-03  0.7071068E+00  0.7071061E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.3441009E-04  0.7071068E+00  0.7071068E+00
      1200      2 -0.5272160E-05  0.7071068E+00  0.7071068E+00
      1200      3 -0.3973734E-04  0.7070812E+00  0.7071324E+00
      1200      4 -0.1840461E-02  0.7071068E+00  0.7071044E+00
      1200      5  0.7476575E-05  0.7071068E+00  0.7071068E+00
      1200      6 -0.3922170E-04  0.7070868E+00  0.7071267E+00
      1200      7 -0.1630656E-02  0.7071068E+00  0.7071049E+00
      1200      8  0.9186610E-05  0.7071068E+00  0.7071068E+00
      1200      9 -0.3832357E-04  0.7070925E+00  0.7071210E+00
      1200     10 -0.1220202E-02  0.7071068E+00  0.7071057E+00
      1200     11 -0.7745607E-07  0.7071068E+00  0.7071068E+00
      1200     12 -0.3704375E-04  0.7070982E+00  0.7071153E+00
      1200     13 -0.7480860E-03  0.7071068E+00  0.7071064E+00
      1200     14 -0.2025162E-04  0.7071068E+00  0.7071068E+00
      1200     15 -0.3538304E-04  0.7071039E+00  0.7071096E+00
      1200     16 -0.2711052E-03  0.7071068E+00  0.7071067E+00
      1200     17 -0.5127224E-04  0.7071068E+00  0.7071068E+00
      1200     18 -0.3334222E-04  0.7071096E+00  0.7071039E+00
      1200     19  0.2022697E-03  0.7071068E+00  0.7071068E+00
      1200     20 -0.9307577E-04  0.7071068E+00  0.7071068E+00
      1200     21 -0.3092211E-04  0.7071153E+00  0.7070982E+00
      1200     22  0.6791271E-03  0.7071068E+00  0.7071065E+00
      1200     23 -0.1455985E-03  0.7071068E+00  0.7071068E+00
      1200     24 -0.2812349E-04  0.7071210E+00  0.7070925E+00
      1200     25  0.1150984E-02  0.7071068E+00  0.7071058E+00
      1200     26 -0.2087765E-03  0.7071068E+00  0.7071068E+00
      1200     27 -0.2494716E-04  0.7071267E+00  0.7070868E+00
      1200     28  0.1560998E-02  0.7071068E+00  0.7071051E+00
      1200     29 -0.2825451E-03  0.7071068E+00  0.7071067E+00
      1200     30 -0.2139392E-04  0.7071324E+00  0.7070812E+00
      1200     31  0.1770062E-02  0.7071068E+00  0.7071046E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.5161514E-04  0.7071068E+00  0.7071068E+00
      1800      2 -0.1403407E-03  0.7071068E+00  0.7071068E+00
      1800      3 -0.6285929E-04  0.7070817E+00  0.7071319E+00
      1800      4 -0.2206654E-02  0.7071068E+00  0.7071033E+00
      1800      5 -0.9313336E-04  0.7071068E+00  0.7071068E+00
      1800      6 -0.6140422E-04  0.7070873E+00  0.7071263E+00
      1800      7 -0.1642563E-02  0.7071068E+00  0.7071049E+00
      1800      8 -0.6152511E-04  0.7071068E+00  0.7071068E+00
      1800      9 -0.5935182E-04  0.7070928E+00  0.7071207E+00
      1800     10 -0.1019711E-02  0.7071068E+00  0.7071060E+00
      1800     11 -0.4564742E-04  0.7071068E+00  0.7071068E+00
      1800     12 -0.5670326E-04  0.7070984E+00  0.7071151E+00
      1800     13 -0.5366672E-03  0.7071068E+00  0.7071066E+00
      1800     14 -0.4563254E-04  0.7071068E+00  0.7071068E+00
      1800     15 -0.5345969E-04  0.7071040E+00  0.7071096E+00
      1800     16 -0.1950289E-03  0.7071068E+00  0.7071068E+00
      1800     17 -0.6161327E-04  0.7071068E+00  0.7071068E+00
      1800     18 -0.4962227E-04  0.7071096E+00  0.7071040E+00
      1800     19  0.9172198E-04  0.7071068E+00  0.7071068E+00
      1800     20 -0.9372268E-04  0.7071068E+00  0.7071068E+00
      1800     21 -0.4519214E-04  0.7071151E+00  0.7070984E+00
      1800     22  0.4327223E-03  0.7071068E+00  0.7071067E+00
      1800     23 -0.1420938E-03  0.7071068E+00  0.7071068E+00
      1800     24 -0.4017047E-04  0.7071207E+00  0.7070928E+00
      1800     25  0.9143739E-03  0.7071068E+00  0.7071062E+00
      1800     26 -0.2068594E-03  0.7071068E+00  0.7071068E+00
      1800     27 -0.3455841E-04  0.7071263E+00  0.7070873E+00
      1800     28  0.1534940E-02  0.7071068E+00  0.7071051E+00
      1800     29 -0.2881516E-03  0.7071068E+00  0.7071067E+00
      1800     30 -0.2835712E-04  0.7071319E+00  0.7070817E+00
      1800     31  0.2095996E-02  0.7071068E+00  0.7071037E+00

      2400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2400      1 -0.6882018E-04  0.7071068E+00  0.7071068E+00
      2400      2 -0.4790343E-03  0.7071068E+00  0.7071066E+00
      2400      3 -0.8412562E-04  0.7070922E+00  0.7071214E+00
      2400      4 -0.2057345E-02  0.7071068E+00  0.7071038E+00
      2400      5 -0.3507425E-03  0.7071068E+00  0.7071067E+00
      2400      6 -0.8215845E-04  0.7070954E+00  0.7071181E+00
      2400      7 -0.1038481E-02  0.7071068E+00  0.7071060E+00
      2400      8 -0.2436650E-03  0.7071068E+00  0.7071067E+00
      2400      9 -0.7937109E-04  0.7070987E+00  0.7071149E+00
      2400     10 -0.3191207E-03  0.7071068E+00  0.7071067E+00
      2400     11 -0.1578085E-03  0.7071068E+00  0.7071068E+00
      2400     12 -0.7576442E-04  0.7071019E+00  0.7071116E+00
      2400     13 -0.2977787E-04  0.7071068E+00  0.7071068E+00
      2400     14 -0.9317645E-04  0.7071068E+00  0.7071068E+00
      2400     15 -0.7133935E-04  0.7071052E+00  0.7071084E+00
      2400     16 -0.2473313E-04  0.7071068E+00  0.7071068E+00
      2400     17 -0.4977055E-04  0.7071068E+00  0.7071068E+00
      2400     18 -0.6609675E-04  0.7071084E+00  0.7071052E+00
      2400     19 -0.1129851E-03  0.7071068E+00  0.7071068E+00
      2400     20 -0.2759164E-04  0.7071068E+00  0.7071068E+00
      2400     21 -0.6003751E-04  0.7071116E+00  0.7071019E+00
      2400     22 -0.1085627E-03  0.7071068E+00  0.7071068E+00
      2400     23 -0.2664125E-04  0.7071068E+00  0.7071068E+00
      2400     24 -0.5316253E-04  0.7071149E+00  0.7070987E+00
      2400     25  0.1795376E-03  0.7071068E+00  0.7071068E+00
      2400     26 -0.4692284E-04  0.7071068E+00  0.7071068E+00
      2400     27 -0.4547268E-04  0.7071181E+00  0.7070954E+00
      2400     28  0.8970356E-03  0.7071068E+00  0.7071062E+00
      2400     29 -0.8844309E-04  0.7071068E+00  0.7071068E+00
      2400     30 -0.3696886E-04  0.7071214E+00  0.7070922E+00
      2400     31  0.1913408E-02  0.7071068E+00  0.7071042E+00

      3000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3000      1 -0.8602523E-04  0.7071068E+00  0.7071068E+00
      3000      2 -0.2771344E-03  0.7071068E+00  0.7071067E+00
      3000      3 -0.1011692E-03  0.7071084E+00  0.7071051E+00
      3000      4 -0.1459787E-02  0.7071068E+00  0.7071053E+00
      3000      5 -0.1874716E-03  0.7071068E+00  0.7071068E+00
      3000      6 -0.9961802E-04  0.7071081E+00  0.7071055E+00
      3000      7 -0.7470964E-04  0.7071068E+00  0.7071068E+00
      3000      8 -0.1249485E-03  0.7071068E+00  0.7071068E+00
      3000      9 -0.9703029E-04  0.7071077E+00  0.7071058E+00
      3000     10  0.4995883E-03  0.7071068E+00  0.7071066E+00
      3000     11 -0.8935843E-04  0.7071068E+00  0.7071068E+00
      3000     12 -0.9340589E-04  0.7071073E+00  0.7071062E+00
      3000     13  0.4473942E-03  0.7071068E+00  0.7071066E+00
      3000     14 -0.8049664E-04  0.7071068E+00  0.7071068E+00
      3000     15 -0.8874468E-04  0.7071070E+00  0.7071066E+00
      3000     16  0.1149114E-03  0.7071068E+00  0.7071068E+00
      3000     17 -0.9815963E-04  0.7071068E+00  0.7071068E+00
      3000     18 -0.8304654E-04  0.7071066E+00  0.7071070E+00
      3000     19 -0.2870860E-03  0.7071068E+00  0.7071067E+00
      3000     20 -0.1421443E-03  0.7071068E+00  0.7071068E+00
      3000     21 -0.7631133E-04  0.7071062E+00  0.7071074E+00
      3000     22 -0.6205389E-03  0.7071068E+00  0.7071065E+00
      3000     23 -0.2122473E-03  0.7071068E+00  0.7071068E+00
      3000     24 -0.6853894E-04  0.7071058E+00  0.7071077E+00
      3000     25 -0.6744994E-03  0.7071068E+00  0.7071065E+00
      3000     26 -0.3082637E-03  0.7071068E+00  0.7071067E+00
      3000     27 -0.5972924E-04  0.7071055E+00  0.7071081E+00
      3000     28 -0.1022216E-03  0.7071068E+00  0.7071068E+00
      3000     29 -0.4299870E-03  0.7071068E+00  0.7071067E+00
      3000     30 -0.4988209E-04  0.7071051E+00  0.7071084E+00
      3000     31  0.1281368E-02  0.7071068E+00  0.7071056E+00

      3600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3600      1 -0.1032303E-03  0.7071068E+00  0.7071068E+00
      3600      2 -0.2876835E-03  0.7071068E+00  0.7071067E+00
      3600      3 -0.1132797E-03  0.7071241E+00  0.7070895E+00
      3600      4 -0.5269699E-03  0.7071068E+00  0.7071066E+00
      3600      5 -0.1921177E-03  0.7071068E+00  0.7071068E+00
      3600      6 -0.1132132E-03  0.7071202E+00  0.7070933E+00
      3600      7  0.8900359E-03  0.7071068E+00  0.7071062E+00
      3600      8 -0.1275724E-03  0.7071068E+00  0.7071068E+00
      3600      9 -0.1119098E-03  0.7071164E+00  0.7070972E+00
      3600     10  0.1021101E-02  0.7071068E+00  0.7071060E+00
      3600     11 -0.9424477E-04  0.7071068E+00  0.7071068E+00
      3600     12 -0.1093681E-03  0.7071126E+00  0.7071010E+00
      3600     13  0.6044384E-03  0.7071068E+00  0.7071065E+00
      3600     14 -0.9233728E-04  0.7071068E+00  0.7071068E+00
      3600     15 -0.1055865E-03  0.7071087E+00  0.7071049E+00
      3600     16  0.1242719E-03  0.7071068E+00  0.7071068E+00
      3600     17 -0.1220555E-03  0.7071068E+00  0.7071068E+00
      3600     18 -0.1005634E-03  0.7071049E+00  0.7071087E+00
      3600     19 -0.3308211E-03  0.7071068E+00  0.7071067E+00
      3600     20 -0.1836063E-03  0.7071068E+00  0.7071068E+00
      3600     21 -0.9429729E-04  0.7071010E+00  0.7071126E+00
      3600     22 -0.8116926E-03  0.7071068E+00  0.7071063E+00
      3600     23 -0.2771955E-03  0.7071068E+00  0.7071067E+00
      3600     24 -0.8678649E-04  0.7070972E+00  0.7071164E+00
      3600     25 -0.1229846E-02  0.7071068E+00  0.7071057E+00
      3600     26 -0.4030262E-03  0.7071068E+00  0.7071067E+00
      3600     27 -0.7802947E-04  0.7070933E+00  0.7071202E+00
      3600     28 -0.1101581E-02  0.7071068E+00  0.7071059E+00
      3600     29 -0.5612965E-03  0.7071068E+00  0.7071066E+00
      3600     30 -0.6802468E-04  0.7070895E+00  0.7071241E+00
      3600     31  0.3103124E-03  0.7071068E+00  0.7071067E+00

      4200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4200      1 -0.1204353E-03  0.7071068E+00  0.7071068E+00
      4200      2 -0.6776711E-03  0.7071068E+00  0.7071065E+00
      4200      3 -0.1216681E-03  0.7071328E+00  0.7070807E+00
      4200      4  0.5228077E-03  0.7071068E+00  0.7071066E+00
      4200      5 -0.4894465E-03  0.7071068E+00  0.7071066E+00
      4200      6 -0.1238863E-03  0.7071270E+00  0.7070865E+00
      4200      7  0.1478542E-02  0.7071068E+00  0.7071052E+00
      4200      8 -0.3379072E-03  0.7071068E+00  0.7071067E+00
      4200      9 -0.1246828E-03  0.7071213E+00  0.7070923E+00
      4200     10  0.9732354E-03  0.7071068E+00  0.7071061E+00
      4200     11 -0.2231904E-03  0.7071068E+00  0.7071067E+00
      4200     12 -0.1240547E-03  0.7071155E+00  0.7070981E+00
      4200     13  0.3375689E-03  0.7071068E+00  0.7071067E+00
      4200     14 -0.1454239E-03  0.7071068E+00  0.7071068E+00
      4200     15 -0.1219992E-03  0.7071097E+00  0.7071039E+00
      4200     16 -0.1352058E-04  0.7071068E+00  0.7071068E+00
      4200     17 -0.1047300E-03  0.7071068E+00  0.7071068E+00
      4200     18 -0.1185136E-03  0.7071039E+00  0.7071097E+00
      4200     19 -0.2274774E-03  0.7071068E+00  0.7071067E+00
      4200     20 -0.1012291E-03  0.7071068E+00  0.7071068E+00
      4200     21 -0.1135951E-03  0.7070981E+00  0.7071155E+00
      4200     22 -0.5795522E-03  0.7071068E+00  0.7071065E+00
      4200     23 -0.1350438E-03  0.7071068E+00  0.7071068E+00
      4200     24 -0.1072409E-03  0.7070923E+00  0.7071213E+00
      4200     25 -0.1217101E-02  0.7071068E+00  0.7071057E+00
      4200     26 -0.2063021E-03  0.7071068E+00  0.7071068E+00
      4200     27 -0.9944822E-04  0.7070865E+00  0.7071270E+00
      4200     28 -0.1725471E-02  0.7071068E+00  0.7071047E+00
      4200     29 -0.3151412E-03  0.7071068E+00  0.7071067E+00
      4200     30 -0.9021435E-04  0.7070807E+00  0.7071328E+00
      4200     31 -0.7748920E-03  0.7071068E+00  0.7071064E+00

      4800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4800      1 -0.1376404E-03  0.7071068E+00  0.7071068E+00
      4800      2 -0.5661903E-03  0.7071068E+00  0.7071066E+00
      4800      3 -0.1289850E-03  0.7071313E+00  0.7070823E+00
      4800      4  0.1394882E-02  0.7071068E+00  0.7071054E+00
      4800      5 -0.3947213E-03  0.7071068E+00  0.7071067E+00
      4800      6 -0.1337177E-03  0.7071258E+00  0.7070877E+00
      4800      7  0.1439031E-02  0.7071068E+00  0.7071053E+00
      4800      8 -0.2671157E-03  0.7071068E+00  0.7071067E+00
      4800      9 -0.1368475E-03  0.7071204E+00  0.7070932E+00
      4800     10  0.3557317E-03  0.7071068E+00  0.7071067E+00
      4800     11 -0.1830132E-03  0.7071068E+00  0.7071068E+00
      4800     12 -0.1383716E-03  0.7071149E+00  0.7070986E+00
      4800     13 -0.2118936E-03  0.7071068E+00  0.7071068E+00
      4800     14 -0.1420538E-03  0.7071068E+00  0.7071068E+00
      4800     15 -0.1382869E-03  0.7071095E+00  0.7071041E+00
      4800     16 -0.2228083E-03  0.7071068E+00  0.7071068E+00
      4800     17 -0.1438778E-03  0.7071068E+00  0.7071068E+00
      4800     18 -0.1365905E-03  0.7071041E+00  0.7071095E+00
      4800     19 -0.5261593E-04  0.7071068E+00  0.7071068E+00
      4800     20 -0.1881253E-03  0.7071068E+00  0.7071068E+00
      4800     21 -0.1332793E-03  0.7070986E+00  0.7071149E+00
      4800     22 -0.6473922E-04  0.7071068E+00  0.7071068E+00
      4800     23 -0.2744368E-03  0.7071068E+00  0.7071067E+00
      4800     24 -0.1283504E-03  0.7070932E+00  0.7071204E+00
      4800     25 -0.6351162E-03  0.7071068E+00  0.7071065E+00
      4800     26 -0.4024523E-03  0.7071068E+00  0.7071067E+00
      4800     27 -0.1218007E-03  0.7070877E+00  0.7071258E+00
      4800     28 -0.1723257E-02  0.7071068E+00  0.7071047E+00
      4800     29 -0.5718117E-03  0.7071068E+00  0.7071066E+00
      4800     30 -0.1136273E-03  0.7070823E+00  0.7071313E+00
      4800     31 -0.1685180E-02  0.7071068E+00  0.7071048E+00

      5400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      5400      1 -0.1548454E-03  0.7071068E+00  0.7071068E+00
      5400      2 -0.4616314E-03  0.7071068E+00  0.7071066E+00
      5400      3 -0.1382800E-03  0.7071200E+00  0.7070936E+00
      5400      4  0.1902466E-02  0.7071068E+00  0.7071042E+00
      5400      5 -0.3102392E-03  0.7071068E+00  0.7071067E+00
      5400      6 -0.1451055E-03  0.7071170E+00  0.7070965E+00
      5400      7  0.7964476E-03  0.7071068E+00  0.7071063E+00
      5400      8 -0.2062622E-03  0.7071068E+00  0.7071068E+00
      5400      9 -0.1501358E-03  0.7071141E+00  0.7070995E+00
      5400     10 -0.5159663E-03  0.7071068E+00  0.7071066E+00
      5400     11 -0.1498601E-03  0.7071068E+00  0.7071068E+00
      5400     12 -0.1533690E-03  0.7071112E+00  0.7071024E+00
      5400     13 -0.7166132E-03  0.7071068E+00  0.7071064E+00
      5400     14 -0.1412079E-03  0.7071068E+00  0.7071068E+00
      5400     15 -0.1548034E-03  0.7071082E+00  0.7071053E+00
      5400     16 -0.3765290E-03  0.7071068E+00  0.7071067E+00
      5400     17 -0.1804898E-03  0.7071068E+00  0.7071068E+00
      5400     18 -0.1544371E-03  0.7071053E+00  0.7071082E+00
      5400     19  0.6664799E-04  0.7071068E+00  0.7071068E+00
      5400     20 -0.2678929E-03  0.7071068E+00  0.7071067E+00
      5400     21 -0.1522682E-03  0.7071024E+00  0.7071111E+00
      5400     22  0.4052337E-03  0.7071068E+00  0.7071067E+00
      5400     23 -0.4036015E-03  0.7071068E+00  0.7071067E+00
      5400     24 -0.1482951E-03  0.7070995E+00  0.7071141E+00
      5400     25  0.2018648E-03  0.7071068E+00  0.7071068E+00
      5400     26 -0.5877909E-03  0.7071068E+00  0.7071065E+00
      5400     27 -0.1425159E-03  0.7070965E+00  0.7071170E+00
      5400     28 -0.1113810E-02  0.7071068E+00  0.7071059E+00
      5400     29 -0.8206212E-03  0.7071068E+00  0.7071063E+00
      5400     30 -0.1349287E-03  0.7070936E+00  0.7071200E+00
      5400     31 -0.2225119E-02  0.7071068E+00  0.7071033E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1 -0.1720505E-03  0.7071068E+00  0.7071068E+00
      6000      2 -0.8522286E-03  0.7071068E+00  0.7071063E+00
      6000      3 -0.1518350E-03  0.7071035E+00  0.7071101E+00
      6000      4  0.1940934E-02  0.7071068E+00  0.7071041E+00
      6000      5 -0.6093079E-03  0.7071068E+00  0.7071065E+00
      6000      6 -0.1598408E-03  0.7071042E+00  0.7071094E+00
      6000      7 -0.2045478E-03  0.7071068E+00  0.7071068E+00
      6000      8 -0.4185417E-03  0.7071068E+00  0.7071067E+00
      6000      9 -0.1658385E-03  0.7071049E+00  0.7071087E+00
      6000     10 -0.1194225E-02  0.7071068E+00  0.7071058E+00
      6000     11 -0.2802780E-03  0.7071068E+00  0.7071067E+00
      6000     12 -0.1698285E-03  0.7071056E+00  0.7071079E+00
      6000     13 -0.8771521E-03  0.7071068E+00  0.7071062E+00
      6000     14 -0.1948497E-03  0.7071068E+00  0.7071068E+00
      6000     15 -0.1718115E-03  0.7071064E+00  0.7071071E+00
      6000     16 -0.3840700E-03  0.7071068E+00  0.7071067E+00
      6000     17 -0.1625814E-03  0.7071068E+00  0.7071068E+00
      6000     18 -0.1717879E-03  0.7071072E+00  0.7071064E+00
      6000     19  0.3975519E-04  0.7071068E+00  0.7071068E+00
      6000     20 -0.1837945E-03  0.7071068E+00  0.7071068E+00
      6000     21 -0.1697582E-03  0.7071079E+00  0.7071056E+00
      6000     22  0.5310956E-03  0.7071068E+00  0.7071066E+00
      6000     23 -0.2588138E-03  0.7071068E+00  0.7071067E+00
      6000     24 -0.1657230E-03  0.7071087E+00  0.7071049E+00
      6000     25  0.8447717E-03  0.7071068E+00  0.7071063E+00
      6000     26 -0.3879736E-03  0.7071068E+00  0.7071067E+00
      6000     27 -0.1596828E-03  0.7071094E+00  0.7071042E+00
      6000     28 -0.1486695E-03  0.7071068E+00  0.7071068E+00
      6000     29 -0.5716229E-03  0.7071068E+00  0.7071066E+00
      6000     30 -0.1516380E-03  0.7071101E+00  0.7071035E+00
      6000     31 -0.2298293E-02  0.7071068E+00  0.7071031E+00

      6600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6600      1 -0.1892555E-03  0.7071068E+00  0.7071068E+00
      6600      2 -0.8529870E-03  0.7071068E+00  0.7071063E+00
      6600      3 -0.1702913E-03  0.7070883E+00  0.7071253E+00
      6600      4  0.1464506E-02  0.7071068E+00  0.7071053E+00
      6600      5 -0.6009211E-03  0.7071068E+00  0.7071065E+00
      6600      6 -0.1784155E-03  0.7070923E+00  0.7071212E+00
      6600      7 -0.1204759E-02  0.7071068E+00  0.7071058E+00
      6600      8 -0.4089874E-03  0.7071068E+00  0.7071067E+00
      6600      9 -0.1843028E-03  0.7070965E+00  0.7071171E+00
      6600     10 -0.1356874E-02  0.7071068E+00  0.7071055E+00
      6600     11 -0.2767356E-03  0.7071068E+00  0.7071067E+00
      6600     12 -0.1879565E-03  0.7071006E+00  0.7071130E+00
      6600     13 -0.6165412E-03  0.7071068E+00  0.7071065E+00
      6600     14 -0.2037065E-03  0.7071068E+00  0.7071068E+00
      6600     15 -0.1893795E-03  0.7071047E+00  0.7071088E+00
      6600     16 -0.2547763E-03  0.7071068E+00  0.7071067E+00
      6600     17 -0.1894359E-03  0.7071068E+00  0.7071068E+00
      6600     18 -0.1885750E-03  0.7071088E+00  0.7071047E+00
      6600     19 -0.1239373E-03  0.7071068E+00  0.7071068E+00
      6600     20 -0.2334581E-03  0.7071068E+00  0.7071067E+00
      6600     21 -0.1855462E-03  0.7071130E+00  0.7071006E+00
      6600     22  0.2362999E-03  0.7071068E+00  0.7071067E+00
      6600     23 -0.3353089E-03  0.7071068E+00  0.7071067E+00
      6600     24 -0.1802961E-03  0.7071171E+00  0.7070964E+00
      6600     25  0.9738475E-03  0.7071068E+00  0.7071061E+00
      6600     26 -0.4945291E-03  0.7071068E+00  0.7071066E+00
      6600     27 -0.1728279E-03  0.7071212E+00  0.7070923E+00
      6600     28  0.8170309E-03  0.7071068E+00  0.7071063E+00
      6600     29 -0.7106687E-03  0.7071068E+00  0.7071064E+00
      6600     30 -0.1631445E-03  0.7071253E+00  0.7070883E+00
      6600     31 -0.1861263E-02  0.7071068E+00  0.7071043E+00

      7200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      7200      1 -0.2064606E-03  0.7071068E+00  0.7071068E+00
      7200      2 -0.6558583E-03  0.7071068E+00  0.7071065E+00
      7200      3 -0.1923801E-03  0.7070804E+00  0.7071331E+00
      7200      4  0.5880102E-03  0.7071068E+00  0.7071065E+00
      7200      5 -0.4446608E-03  0.7071068E+00  0.7071066E+00
      7200      6 -0.1998184E-03  0.7070863E+00  0.7071273E+00
      7200      7 -0.1819223E-02  0.7071068E+00  0.7071045E+00
      7200      8 -0.2970765E-03  0.7071068E+00  0.7071067E+00
      7200      9 -0.2047902E-03  0.7070921E+00  0.7071214E+00
      7200     10 -0.9283507E-03  0.7071068E+00  0.7071062E+00
      7200     11 -0.2131006E-03  0.7071068E+00  0.7071068E+00
      7200     12 -0.2073004E-03  0.7070980E+00  0.7071156E+00
      7200     13 -0.1001583E-03  0.7071068E+00  0.7071068E+00
      7200     14 -0.1927573E-03  0.7071068E+00  0.7071068E+00
      7200     15 -0.2073537E-03  0.7071038E+00  0.7071097E+00
      7200     16 -0.8343842E-04  0.7071068E+00  0.7071068E+00
