 -0.9650066    -0.8419857E-01 0.0000000E+00 0.0000000E+00-0.3375976E-01 100000
  0.8166679    -0.9650066     0.0000000E+00 0.0000000E+00-0.7878775     010000
  0.0000000E+00 0.0000000E+00-0.9440244    -0.1602289E-01 0.0000000E+00 001000
  0.0000000E+00 0.0000000E+00  6.791409    -0.9440244     0.0000000E+00 000100
 -0.7736343E-05-0.3314946E-06 0.0000000E+00 0.0000000E+00 0.9989236     000010
  0.7878775     0.3375976E-01 0.0000000E+00 0.0000000E+00  109.6239     000001
  -2.275523     0.8907479     0.0000000E+00 0.0000000E+00-0.3589646     200000
   1.956588      3.214114     0.0000000E+00 0.0000000E+00  1.425355     110000
   26.79569    -0.3451535E-03 0.0000000E+00 0.0000000E+00 -8.292286     020000
  0.0000000E+00 0.0000000E+00  15.57760     -1.198677     0.0000000E+00 101000
  0.0000000E+00 0.0000000E+00  7.611423    -0.3801622     0.0000000E+00 011000
  0.7959886    -0.6461801     0.0000000E+00 0.0000000E+00-0.3169365     002000
  0.0000000E+00 0.0000000E+00  46.98778     -6.156673     0.0000000E+00 100100
  0.0000000E+00 0.0000000E+00 -589.9931     -14.89042     0.0000000E+00 010100
   9.803806     -5.947589     0.0000000E+00 0.0000000E+00 -3.662902     001100
 -0.2810805E-04 0.2069805E-04 0.0000000E+00 0.0000000E+00-0.1598183E-05 100010
 -0.1483474E-03-0.2351928E-05 0.0000000E+00 0.0000000E+00-0.3640443E-04 010010
  0.0000000E+00 0.0000000E+00 0.4176635E-04-0.3847912E-05 0.0000000E+00 001010
   2.862554     -2.107912     0.0000000E+00 0.0000000E+00 0.1627607     100001
   15.10786     0.2395229     0.0000000E+00 0.0000000E+00  3.707467     010001
  0.0000000E+00 0.0000000E+00 -4.253521     0.3918751     0.0000000E+00 001001
  -316.4936     -28.93335     0.0000000E+00 0.0000000E+00 -22.71993     000200
  0.0000000E+00 0.0000000E+00-0.1063811E-03-0.1588961E-04 0.0000000E+00 000110
 -0.2071379E-09 0.5663613E-10 0.0000000E+00 0.0000000E+00-0.8377121E-08 000020
  0.0000000E+00 0.0000000E+00  10.83396      1.618215     0.0000000E+00 000101
  0.5357322E-04-0.1486399E-04 0.0000000E+00 0.0000000E+00 0.1702868E-02 000011
  -2.727978     0.7568822     0.0000000E+00 0.0000000E+00 -86.71095     000002
  -58.33598     -31.62495     0.0000000E+00 0.0000000E+00 -2.359987     300000
  -1207.523      131.1702     0.0000000E+00 0.0000000E+00  283.7987     210000
   1261.511      1157.120     0.0000000E+00 0.0000000E+00  163.2929     120000
   2857.155     -557.1270     0.0000000E+00 0.0000000E+00 -1150.366     030000
  0.0000000E+00 0.0000000E+00  157.0993     -1.524794     0.0000000E+00 201000
  0.0000000E+00 0.0000000E+00  910.4951     -36.30334     0.0000000E+00 111000
  0.0000000E+00 0.0000000E+00 -1743.183     -24.31784     0.0000000E+00 021000
   30.79651     0.1649115     0.0000000E+00 0.0000000E+00 -6.553983     102000
   50.38295     -23.22235     0.0000000E+00 0.0000000E+00 -49.71052     012000
  0.0000000E+00 0.0000000E+00  3.014344     0.6719754     0.0000000E+00 003000
  0.0000000E+00 0.0000000E+00  1995.414     -154.1918     0.0000000E+00 200100
  0.0000000E+00 0.0000000E+00 -11272.56     -1866.227     0.0000000E+00 110100
  0.0000000E+00 0.0000000E+00  14061.67      1799.146     0.0000000E+00 020100
   910.9525     -237.4905     0.0000000E+00 0.0000000E+00 -501.6662     101100
  -1558.570     -1789.132     0.0000000E+00 0.0000000E+00 -343.4444     011100
  0.0000000E+00 0.0000000E+00  58.98058     -19.15328     0.0000000E+00 002100
  0.1728661E-02-0.5233365E-03 0.0000000E+00 0.0000000E+00-0.3628287E-05 200010
 -0.1299273E-01-0.3555810E-02 0.0000000E+00 0.0000000E+00 0.5008559E-03 110010
 -0.2340504E-01 0.5628784E-02 0.0000000E+00 0.0000000E+00 0.2916371E-02 020010
  0.0000000E+00 0.0000000E+00-0.3399297E-02 0.4568269E-04 0.0000000E+00 101010
  0.0000000E+00 0.0000000E+00 0.4975258E-02 0.4813086E-03 0.0000000E+00 011010
 -0.3058055E-03 0.2051457E-04 0.0000000E+00 0.0000000E+00-0.3857850E-05 002010
  -176.0487      53.29715     0.0000000E+00 0.0000000E+00 0.3695070     200001
   1323.193      362.1275     0.0000000E+00 0.0000000E+00 -51.00770     110001
   2383.594     -573.2414     0.0000000E+00 0.0000000E+00 -297.0063     020001
  0.0000000E+00 0.0000000E+00  346.1880     -4.652371     0.0000000E+00 101001
  0.0000000E+00 0.0000000E+00 -506.6860     -49.01699     0.0000000E+00 011001
   31.14356     -2.089220     0.0000000E+00 0.0000000E+00 0.3928879     002001
  -14152.07     -1380.939     0.0000000E+00 0.0000000E+00 -324.8058     100200
   17561.47      12363.85     0.0000000E+00 0.0000000E+00  15500.91     010200
  0.0000000E+00 0.0000000E+00 -8355.610     -545.0785     0.0000000E+00 001200
  0.0000000E+00 0.0000000E+00 0.3897289E-02 0.2658660E-02 0.0000000E+00 100110
  0.0000000E+00 0.0000000E+00 0.1919506    -0.8414477E-02 0.0000000E+00 010110
  0.4936981E-02 0.3008966E-02 0.0000000E+00 0.0000000E+00-0.8110245E-03 001110
  0.1764802E-07-0.2718547E-08 0.0000000E+00 0.0000000E+00 0.2434412E-10 100020
 -0.1877753E-07-0.1371914E-07 0.0000000E+00 0.0000000E+00-0.7758415E-08 010020
  0.0000000E+00 0.0000000E+00-0.1461847E-07-0.9076775E-10 0.0000000E+00 001020
  0.0000000E+00 0.0000000E+00 -396.9041     -270.7608     0.0000000E+00 100101
  0.0000000E+00 0.0000000E+00 -19548.45      856.9394     0.0000000E+00 010101
  -502.7879     -306.4364     0.0000000E+00 0.0000000E+00  82.59564     001101
 -0.3617743E-02 0.6235287E-03 0.0000000E+00 0.0000000E+00 0.4771449E-04 100011
  0.3310740E-02 0.2716891E-02 0.0000000E+00 0.0000000E+00 0.1503750E-02 010011
  0.0000000E+00 0.0000000E+00 0.2888873E-02 0.3301973E-04 0.0000000E+00 001011
   184.2174     -31.75042     0.0000000E+00 0.0000000E+00 -2.429647     100002
  -168.5847     -138.3456     0.0000000E+00 0.0000000E+00 -76.57176     010002
  0.0000000E+00 0.0000000E+00 -147.1030     -1.681385     0.0000000E+00 001002
  0.0000000E+00 0.0000000E+00 -83878.64      1139.009     0.0000000E+00 000300
  0.5611011E-01 0.5389370E-03 0.0000000E+00 0.0000000E+00 0.8329494E-02 000210
  0.0000000E+00 0.0000000E+00 0.2821742E-07 0.1456609E-07 0.0000000E+00 000120
  0.3119240E-05 0.1336563E-06 0.0000000E+00 0.0000000E+00 0.4340058E-03 000030
  -5714.314     -54.88592     0.0000000E+00 0.0000000E+00 -848.2847     000201
  0.0000000E+00 0.0000000E+00-0.1174987E-01-0.3094342E-02 0.0000000E+00 000111
 -0.6300768E-08 0.1528001E-08 0.0000000E+00 0.0000000E+00 0.1946075E-07 000021
  0.0000000E+00 0.0000000E+00  598.3096      157.5656     0.0000000E+00 000102
  0.6559416E-03-0.1629356E-03 0.0000000E+00 0.0000000E+00-0.1981760E-02 000012
  -22.26727      5.531178     0.0000000E+00 0.0000000E+00  67.27485     000003
 ------------------------------------------------------------------------------
