# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.1720505E-04  0.7071068E+00  0.7071068E+00
       600      2 -0.1984656E-03  0.7071068E+00  0.7071068E+00
       600      3 -0.1995782E-04  0.7070908E+00  0.7071228E+00
       600      4 -0.1034009E-02  0.7071068E+00  0.7071060E+00
       600      5 -0.1579690E-03  0.7071068E+00  0.7071068E+00
       600      6 -0.1931133E-04  0.7070943E+00  0.7071192E+00
       600      7 -0.9987520E-03  0.7071068E+00  0.7071061E+00
       600      8 -0.1176027E-03  0.7071068E+00  0.7071068E+00
       600      9 -0.1868452E-04  0.7070979E+00  0.7071157E+00
       600     10 -0.8087508E-03  0.7071068E+00  0.7071063E+00
       600     11 -0.7735874E-04  0.7071068E+00  0.7071068E+00
       600     12 -0.1807761E-04  0.7071014E+00  0.7071121E+00
       600     13 -0.5248985E-03  0.7071068E+00  0.7071066E+00
       600     14 -0.3722931E-04  0.7071068E+00  0.7071068E+00
       600     15 -0.1749083E-04  0.7071050E+00  0.7071086E+00
       600     16 -0.1915512E-03  0.7071068E+00  0.7071068E+00
       600     17  0.2793581E-05  0.7071068E+00  0.7071068E+00
       600     18 -0.1692438E-04  0.7071086E+00  0.7071050E+00
       600     19  0.1571332E-03  0.7071068E+00  0.7071068E+00
       600     20  0.4271795E-04  0.7071068E+00  0.7071068E+00
       600     21 -0.1637849E-04  0.7071121E+00  0.7071015E+00
       600     22  0.4904164E-03  0.7071068E+00  0.7071066E+00
       600     23  0.8255188E-04  0.7071068E+00  0.7071068E+00
       600     24 -0.1585339E-04  0.7071157E+00  0.7070979E+00
       600     25  0.7741349E-03  0.7071068E+00  0.7071064E+00
       600     26  0.1223035E-03  0.7071068E+00  0.7071068E+00
       600     27 -0.1534929E-04  0.7071192E+00  0.7070943E+00
       600     28  0.9639238E-03  0.7071068E+00  0.7071061E+00
       600     29  0.1619808E-03  0.7071068E+00  0.7071068E+00
       600     30 -0.1486641E-04  0.7071228E+00  0.7070908E+00
       600     31  0.9988813E-03  0.7071068E+00  0.7071061E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.3441009E-04  0.7071068E+00  0.7071068E+00
      1200      2  0.1033792E-03  0.7071068E+00  0.7071068E+00
      1200      3 -0.4385394E-04  0.7070812E+00  0.7071324E+00
      1200      4 -0.1840149E-02  0.7071068E+00  0.7071044E+00
      1200      5  0.7313088E-04  0.7071068E+00  0.7071068E+00
      1200      6 -0.4171178E-04  0.7070868E+00  0.7071267E+00
      1200      7 -0.1630484E-02  0.7071068E+00  0.7071049E+00
      1200      8  0.4264669E-04  0.7071068E+00  0.7071068E+00
      1200      9 -0.3959391E-04  0.7070925E+00  0.7071210E+00
      1200     10 -0.1220115E-02  0.7071068E+00  0.7071057E+00
      1200     11  0.1195492E-04  0.7071068E+00  0.7071068E+00
      1200     12 -0.3750103E-04  0.7070982E+00  0.7071153E+00
      1200     13 -0.7480541E-03  0.7071068E+00  0.7071064E+00
      1200     14 -0.1891616E-04  0.7071068E+00  0.7071068E+00
      1200     15 -0.3543384E-04  0.7071039E+00  0.7071096E+00
      1200     16 -0.2711015E-03  0.7071068E+00  0.7071067E+00
      1200     17 -0.4993824E-04  0.7071068E+00  0.7071068E+00
      1200     18 -0.3339302E-04  0.7071096E+00  0.7071039E+00
      1200     19  0.2022735E-03  0.7071068E+00  0.7071068E+00
      1200     20 -0.8108294E-04  0.7071068E+00  0.7071068E+00
      1200     21 -0.3137927E-04  0.7071153E+00  0.7070982E+00
      1200     22  0.6791619E-03  0.7071068E+00  0.7071065E+00
      1200     23 -0.1123218E-03  0.7071068E+00  0.7071068E+00
      1200     24 -0.2939328E-04  0.7071210E+00  0.7070925E+00
      1200     25  0.1151084E-02  0.7071068E+00  0.7071058E+00
      1200     26 -0.1436260E-03  0.7071068E+00  0.7071068E+00
      1200     27 -0.2743575E-04  0.7071267E+00  0.7070868E+00
      1200     28  0.1561204E-02  0.7071068E+00  0.7071051E+00
      1200     29 -0.1749668E-03  0.7071068E+00  0.7071068E+00
      1200     30 -0.2550736E-04  0.7071324E+00  0.7070812E+00
      1200     31  0.1770431E-02  0.7071068E+00  0.7071046E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.5161514E-04  0.7071068E+00  0.7071068E+00
      1800      2  0.2021051E-04  0.7071068E+00  0.7071068E+00
      1800      3 -0.6902222E-04  0.7070817E+00  0.7071319E+00
      1800      4 -0.2205548E-02  0.7071068E+00  0.7071033E+00
      1800      5  0.4145693E-05  0.7071068E+00  0.7071068E+00
      1800      6 -0.6513209E-04  0.7070873E+00  0.7071263E+00
      1800      7 -0.1641900E-02  0.7071068E+00  0.7071049E+00
      1800      8 -0.1181329E-04  0.7071068E+00  0.7071068E+00
      1800      9 -0.6125363E-04  0.7070928E+00  0.7071207E+00
      1800     10 -0.1019385E-02  0.7071068E+00  0.7071060E+00
      1800     11 -0.2772239E-04  0.7071068E+00  0.7071068E+00
      1800     12 -0.5738785E-04  0.7070984E+00  0.7071151E+00
      1800     13 -0.5365538E-03  0.7071068E+00  0.7071066E+00
      1800     14 -0.4363766E-04  0.7071068E+00  0.7071068E+00
      1800     15 -0.5353575E-04  0.7071040E+00  0.7071096E+00
      1800     16 -0.1950166E-03  0.7071068E+00  0.7071068E+00
      1800     17 -0.5961519E-04  0.7071068E+00  0.7071068E+00
      1800     18 -0.4969832E-04  0.7071096E+00  0.7071040E+00
      1800     19  0.9173433E-04  0.7071068E+00  0.7071068E+00
      1800     20 -0.7571105E-04  0.7071068E+00  0.7071068E+00
      1800     21 -0.4587655E-04  0.7071151E+00  0.7070984E+00
      1800     22  0.4328364E-03  0.7071068E+00  0.7071067E+00
      1800     23 -0.9198126E-04  0.7071068E+00  0.7071068E+00
      1800     24 -0.4207145E-04  0.7071207E+00  0.7070928E+00
      1800     25  0.9147052E-03  0.7071068E+00  0.7071062E+00
      1800     26 -0.1084818E-03  0.7071068E+00  0.7071068E+00
      1800     27 -0.3828401E-04  0.7071263E+00  0.7070873E+00
      1800     28  0.1535621E-02  0.7071068E+00  0.7071051E+00
      1800     29 -0.1252683E-03  0.7071068E+00  0.7071068E+00
      1800     30 -0.3451523E-04  0.7071319E+00  0.7070817E+00
      1800     31  0.2097143E-02  0.7071068E+00  0.7071037E+00

      2400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2400      1 -0.6882018E-04  0.7071068E+00  0.7071068E+00
      2400      2 -0.2638286E-03  0.7071068E+00  0.7071067E+00
      2400      3 -0.9232677E-04  0.7070922E+00  0.7071214E+00
      2400      4 -0.2056229E-02  0.7071068E+00  0.7071038E+00
      2400      5 -0.2205470E-03  0.7071068E+00  0.7071067E+00
      2400      6 -0.8711938E-04  0.7070954E+00  0.7071181E+00
      2400      7 -0.1037824E-02  0.7071068E+00  0.7071060E+00
      2400      8 -0.1772349E-03  0.7071068E+00  0.7071068E+00
      2400      9 -0.8190204E-04  0.7070987E+00  0.7071149E+00
      2400     10 -0.3187873E-03  0.7071068E+00  0.7071067E+00
      2400     11 -0.1338926E-03  0.7071068E+00  0.7071068E+00
      2400     12 -0.7667552E-04  0.7071019E+00  0.7071116E+00
      2400     13 -0.2965748E-04  0.7071068E+00  0.7071068E+00
      2400     14 -0.9051903E-04  0.7071068E+00  0.7071068E+00
      2400     15 -0.7144058E-04  0.7071052E+00  0.7071084E+00
      2400     16 -0.2471972E-04  0.7071068E+00  0.7071068E+00
      2400     17 -0.4711302E-04  0.7071068E+00  0.7071068E+00
      2400     18 -0.6619797E-04  0.7071084E+00  0.7071052E+00
      2400     19 -0.1129717E-03  0.7071068E+00  0.7071068E+00
      2400     20 -0.3672874E-05  0.7071068E+00  0.7071068E+00
      2400     21 -0.6094847E-04  0.7071116E+00  0.7071019E+00
      2400     22 -0.1084423E-03  0.7071068E+00  0.7071068E+00
      2400     23  0.3980317E-04  0.7071068E+00  0.7071068E+00
      2400     24 -0.5569282E-04  0.7071149E+00  0.7070987E+00
      2400     25  0.1798701E-03  0.7071068E+00  0.7071068E+00
      2400     26  0.8331669E-04  0.7071068E+00  0.7071068E+00
      2400     27 -0.5043180E-04  0.7071181E+00  0.7070954E+00
      2400     28  0.8976756E-03  0.7071068E+00  0.7071062E+00
      2400     29  0.1268689E-03  0.7071068E+00  0.7071068E+00
      2400     30 -0.4516617E-04  0.7071214E+00  0.7070922E+00
      2400     31  0.1914429E-02  0.7071068E+00  0.7071042E+00

      3000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3000      1 -0.8602523E-04  0.7071068E+00  0.7071068E+00
      3000      2 -0.6632234E-05  0.7071068E+00  0.7071068E+00
      3000      3 -0.1114039E-03  0.7071084E+00  0.7071051E+00
      3000      4 -0.1458653E-02  0.7071068E+00  0.7071053E+00
      3000      5 -0.2407024E-04  0.7071068E+00  0.7071068E+00
      3000      6 -0.1058094E-03  0.7071081E+00  0.7071055E+00
      3000      7 -0.7389094E-04  0.7071068E+00  0.7071068E+00
      3000      8 -0.4169993E-04  0.7071068E+00  0.7071068E+00
      3000      9 -0.1001892E-03  0.7071077E+00  0.7071058E+00
      3000     10  0.5000536E-03  0.7071068E+00  0.7071066E+00
      3000     11 -0.5943172E-04  0.7071068E+00  0.7071068E+00
      3000     12 -0.9454310E-04  0.7071073E+00  0.7071062E+00
      3000     13  0.4475706E-03  0.7071068E+00  0.7071066E+00
      3000     14 -0.7717618E-04  0.7071068E+00  0.7071068E+00
      3000     15 -0.8887103E-04  0.7071070E+00  0.7071066E+00
      3000     16  0.1149314E-03  0.7071068E+00  0.7071068E+00
      3000     17 -0.9484391E-04  0.7071068E+00  0.7071068E+00
      3000     18 -0.8317289E-04  0.7071066E+00  0.7071070E+00
      3000     19 -0.2870659E-03  0.7071068E+00  0.7071067E+00
      3000     20 -0.1123453E-03  0.7071068E+00  0.7071068E+00
      3000     21 -0.7744857E-04  0.7071062E+00  0.7071074E+00
      3000     22 -0.6203615E-03  0.7071068E+00  0.7071065E+00
      3000     23 -0.1295905E-03  0.7071068E+00  0.7071068E+00
      3000     24 -0.7169794E-04  0.7071058E+00  0.7071077E+00
      3000     25 -0.6740320E-03  0.7071068E+00  0.7071065E+00
      3000     26 -0.1464892E-03  0.7071068E+00  0.7071068E+00
      3000     27 -0.6592091E-04  0.7071055E+00  0.7071081E+00
      3000     28 -0.1014026E-03  0.7071068E+00  0.7071068E+00
      3000     29 -0.1629505E-03  0.7071068E+00  0.7071068E+00
      3000     30 -0.6011736E-04  0.7071051E+00  0.7071084E+00
      3000     31  0.1282520E-02  0.7071068E+00  0.7071056E+00

      3600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3600      1 -0.1032303E-03  0.7071068E+00  0.7071068E+00
      3600      2  0.3298707E-04  0.7071068E+00  0.7071068E+00
      3600      3 -0.1255641E-03  0.7071241E+00  0.7070895E+00
      3600      4 -0.5253063E-03  0.7071068E+00  0.7071066E+00
      3600      5  0.2105980E-05  0.7071068E+00  0.7071068E+00
      3600      6 -0.1206449E-03  0.7071202E+00  0.7070933E+00
      3600      7  0.8909203E-03  0.7071068E+00  0.7071062E+00
      3600      8 -0.2835538E-04  0.7071068E+00  0.7071068E+00
      3600      9 -0.1157018E-03  0.7071164E+00  0.7070972E+00
      3600     10  0.1021522E-02  0.7071068E+00  0.7071060E+00
      3600     11 -0.5848174E-04  0.7071068E+00  0.7071068E+00
      3600     12 -0.1107333E-03  0.7071126E+00  0.7071010E+00
      3600     13  0.6045890E-03  0.7071068E+00  0.7071065E+00
      3600     14 -0.8835858E-04  0.7071068E+00  0.7071068E+00
      3600     15 -0.1057382E-03  0.7071087E+00  0.7071049E+00
      3600     16  0.1242889E-03  0.7071068E+00  0.7071068E+00
      3600     17 -0.1180718E-03  0.7071068E+00  0.7071068E+00
      3600     18 -0.1007152E-03  0.7071049E+00  0.7071087E+00
      3600     19 -0.3308040E-03  0.7071068E+00  0.7071067E+00
      3600     20 -0.1477074E-03  0.7071068E+00  0.7071068E+00
      3600     21 -0.9566273E-04  0.7071010E+00  0.7071126E+00
      3600     22 -0.8115392E-03  0.7071068E+00  0.7071063E+00
      3600     23 -0.1773508E-03  0.7071068E+00  0.7071068E+00
      3600     24 -0.9057963E-04  0.7070972E+00  0.7071164E+00
      3600     25 -0.1229413E-02  0.7071068E+00  0.7071057E+00
      3600     26 -0.2070872E-03  0.7071068E+00  0.7071068E+00
      3600     27 -0.8546450E-04  0.7070933E+00  0.7071202E+00
      3600     28 -0.1100684E-02  0.7071068E+00  0.7071059E+00
      3600     29 -0.2370002E-03  0.7071068E+00  0.7071067E+00
      3600     30 -0.8031600E-04  0.7070895E+00  0.7071241E+00
      3600     31  0.3119792E-03  0.7071068E+00  0.7071067E+00

      4200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4200      1 -0.1204353E-03  0.7071068E+00  0.7071068E+00
      4200      2 -0.3021410E-03  0.7071068E+00  0.7071067E+00
      4200      3 -0.1360128E-03  0.7071328E+00  0.7070807E+00
      4200      4  0.5246692E-03  0.7071068E+00  0.7071066E+00
      4200      5 -0.2621134E-03  0.7071068E+00  0.7071067E+00
      4200      6 -0.1325648E-03  0.7071270E+00  0.7070865E+00
      4200      7  0.1479639E-02  0.7071068E+00  0.7071052E+00
      4200      8 -0.2218422E-03  0.7071068E+00  0.7071068E+00
      4200      9 -0.1291110E-03  0.7071213E+00  0.7070923E+00
      4200     10  0.9737903E-03  0.7071068E+00  0.7071061E+00
      4200     11 -0.1813795E-03  0.7071068E+00  0.7071068E+00
      4200     12 -0.1256490E-03  0.7071155E+00  0.7070981E+00
      4200     13  0.3377706E-03  0.7071068E+00  0.7071067E+00
      4200     14 -0.1407752E-03  0.7071068E+00  0.7071068E+00
      4200     15 -0.1221763E-03  0.7071097E+00  0.7071039E+00
      4200     16 -0.1349791E-04  0.7071068E+00  0.7071068E+00
      4200     17 -0.1000783E-03  0.7071068E+00  0.7071068E+00
      4200     18 -0.1186908E-03  0.7071039E+00  0.7071097E+00
      4200     19 -0.2274547E-03  0.7071068E+00  0.7071067E+00
      4200     20 -0.5933681E-04  0.7071068E+00  0.7071068E+00
      4200     21 -0.1151898E-03  0.7070981E+00  0.7071155E+00
      4200     22 -0.5793521E-03  0.7071068E+00  0.7071065E+00
      4200     23 -0.1859902E-04  0.7071068E+00  0.7071068E+00
      4200     24 -0.1116712E-03  0.7070923E+00  0.7071213E+00
      4200     25 -0.1216561E-02  0.7071068E+00  0.7071057E+00
      4200     26  0.2208613E-04  0.7071068E+00  0.7071068E+00
      4200     27 -0.1081324E-03  0.7070865E+00  0.7071270E+00
      4200     28 -0.1724419E-02  0.7071068E+00  0.7071047E+00
      4200     29  0.6266825E-04  0.7071068E+00  0.7071068E+00
      4200     30 -0.1045712E-03  0.7070807E+00  0.7071328E+00
      4200     31 -0.7730395E-03  0.7071068E+00  0.7071064E+00

      4800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4800      1 -0.1376404E-03  0.7071068E+00  0.7071068E+00
      4800      2 -0.1323291E-03  0.7071068E+00  0.7071068E+00
      4800      3 -0.1453869E-03  0.7071313E+00  0.7070823E+00
      4800      4  0.1397289E-02  0.7071068E+00  0.7071054E+00
      4800      5 -0.1326740E-03  0.7071068E+00  0.7071068E+00
      4800      6 -0.1436407E-03  0.7071258E+00  0.7070877E+00
      4800      7  0.1440526E-02  0.7071068E+00  0.7071053E+00
      4800      8 -0.1336280E-03  0.7071068E+00  0.7071068E+00
      4800      9 -0.1419107E-03  0.7071204E+00  0.7070932E+00
      4800     10  0.3564399E-03  0.7071068E+00  0.7071067E+00
      4800     11 -0.1350331E-03  0.7071068E+00  0.7071068E+00
      4800     12 -0.1401945E-03  0.7071149E+00  0.7070986E+00
      4800     13 -0.2116573E-03  0.7071068E+00  0.7071068E+00
      4800     14 -0.1367311E-03  0.7071068E+00  0.7071068E+00
      4800     15 -0.1384895E-03  0.7071095E+00  0.7071041E+00
      4800     16 -0.2227831E-03  0.7071068E+00  0.7071068E+00
      4800     17 -0.1385634E-03  0.7071068E+00  0.7071068E+00
      4800     18 -0.1367931E-03  0.7071041E+00  0.7071095E+00
      4800     19 -0.5259069E-04  0.7071068E+00  0.7071068E+00
      4800     20 -0.1403711E-03  0.7071068E+00  0.7071068E+00
      4800     21 -0.1351027E-03  0.7070986E+00  0.7071149E+00
      4800     22 -0.6450291E-04  0.7071068E+00  0.7071068E+00
      4800     23 -0.1419951E-03  0.7071068E+00  0.7071068E+00
      4800     24 -0.1334158E-03  0.7070932E+00  0.7071204E+00
      4800     25 -0.6344076E-03  0.7071068E+00  0.7071065E+00
      4800     26 -0.1432758E-03  0.7071068E+00  0.7071068E+00
      4800     27 -0.1317298E-03  0.7070877E+00  0.7071258E+00
      4800     28 -0.1721759E-02  0.7071068E+00  0.7071047E+00
      4800     29 -0.1440530E-03  0.7071068E+00  0.7071068E+00
      4800     30 -0.1300421E-03  0.7070823E+00  0.7071313E+00
      4800     31 -0.1682770E-02  0.7071068E+00  0.7071048E+00

      5400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      5400      1 -0.1548454E-03  0.7071068E+00  0.7071068E+00
      5400      2  0.2157995E-04  0.7071068E+00  0.7071068E+00
      5400      3 -0.1567444E-03  0.7071200E+00  0.7070936E+00
      5400      4  0.1904700E-02  0.7071068E+00  0.7071042E+00
      5400      5 -0.1772483E-04  0.7071068E+00  0.7071068E+00
      5400      6 -0.1562759E-03  0.7071170E+00  0.7070965E+00
      5400      7  0.7978473E-03  0.7071068E+00  0.7071063E+00
      5400      8 -0.5691182E-04  0.7071068E+00  0.7071068E+00
      5400      9 -0.1558352E-03  0.7071141E+00  0.7070995E+00
      5400     10 -0.5152040E-03  0.7071068E+00  0.7071066E+00
      5400     11 -0.9605351E-04  0.7071068E+00  0.7071068E+00
      5400     12 -0.1554209E-03  0.7071111E+00  0.7071024E+00
      5400     13 -0.7163307E-03  0.7071068E+00  0.7071064E+00
      5400     14 -0.1352248E-03  0.7071068E+00  0.7071068E+00
      5400     15 -0.1550314E-03  0.7071082E+00  0.7071053E+00
      5400     16 -0.3764973E-03  0.7071068E+00  0.7071067E+00
      5400     17 -0.1745021E-03  0.7071068E+00  0.7071068E+00
      5400     18 -0.1546651E-03  0.7071053E+00  0.7071082E+00
      5400     19  0.6667984E-04  0.7071068E+00  0.7071068E+00
      5400     20 -0.2139617E-03  0.7071068E+00  0.7071068E+00
      5400     21 -0.1543204E-03  0.7071024E+00  0.7071111E+00
      5400     22  0.4055184E-03  0.7071068E+00  0.7071067E+00
      5400     23 -0.2536794E-03  0.7071068E+00  0.7071067E+00
      5400     24 -0.1539959E-03  0.7070995E+00  0.7071141E+00
      5400     25  0.2026287E-03  0.7071068E+00  0.7071068E+00
      5400     26 -0.2937287E-03  0.7071068E+00  0.7071067E+00
      5400     27 -0.1536899E-03  0.7070965E+00  0.7071170E+00
      5400     28 -0.1112395E-02  0.7071068E+00  0.7071059E+00
      5400     29 -0.3341800E-03  0.7071068E+00  0.7071067E+00
      5400     30 -0.1534009E-03  0.7070936E+00  0.7071200E+00
      5400     31 -0.2222791E-02  0.7071068E+00  0.7071033E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1 -0.1720505E-03  0.7071068E+00  0.7071068E+00
      6000      2 -0.3164032E-03  0.7071068E+00  0.7071067E+00
      6000      3 -0.1723610E-03  0.7071035E+00  0.7071101E+00
      6000      4  0.1943430E-02  0.7071068E+00  0.7071041E+00
      6000      5 -0.2847615E-03  0.7071068E+00  0.7071067E+00
      6000      6 -0.1722576E-03  0.7071042E+00  0.7071094E+00
      6000      7 -0.2029190E-03  0.7071068E+00  0.7071068E+00
      6000      8 -0.2527552E-03  0.7071068E+00  0.7071067E+00
      6000      9 -0.1721735E-03  0.7071049E+00  0.7071087E+00
      6000     10 -0.1193324E-02  0.7071068E+00  0.7071058E+00
      6000     11 -0.2205235E-03  0.7071068E+00  0.7071068E+00
      6000     12 -0.1721091E-03  0.7071056E+00  0.7071079E+00
      6000     13 -0.8768248E-03  0.7071068E+00  0.7071062E+00
      6000     14 -0.1882025E-03  0.7071068E+00  0.7071068E+00
      6000     15 -0.1720649E-03  0.7071064E+00  0.7071071E+00
      6000     16 -0.3840341E-03  0.7071068E+00  0.7071067E+00
      6000     17 -0.1559263E-03  0.7071068E+00  0.7071068E+00
      6000     18 -0.1720413E-03  0.7071072E+00  0.7071064E+00
      6000     19  0.3979105E-04  0.7071068E+00  0.7071068E+00
      6000     20 -0.1238283E-03  0.7071068E+00  0.7071068E+00
      6000     21 -0.1720387E-03  0.7071079E+00  0.7071056E+00
      6000     22  0.5314199E-03  0.7071068E+00  0.7071066E+00
      6000     23 -0.9204205E-04  0.7071068E+00  0.7071068E+00
      6000     24 -0.1720577E-03  0.7071087E+00  0.7071049E+00
      6000     25  0.8456626E-03  0.7071068E+00  0.7071063E+00
      6000     26 -0.6070262E-04  0.7071068E+00  0.7071068E+00
      6000     27 -0.1720986E-03  0.7071094E+00  0.7071041E+00
      6000     28 -0.1470404E-03  0.7071068E+00  0.7071068E+00
      6000     29 -0.2994763E-04  0.7071068E+00  0.7071068E+00
      6000     30 -0.1721618E-03  0.7071101E+00  0.7071034E+00
      6000     31 -0.2295876E-02  0.7071068E+00  0.7071031E+00

      6600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6600      1 -0.1892555E-03  0.7071068E+00  0.7071068E+00
      6600      2 -0.2568664E-03  0.7071068E+00  0.7071067E+00
      6600      3 -0.1928601E-03  0.7070883E+00  0.7071253E+00
      6600      4  0.1467708E-02  0.7071068E+00  0.7071053E+00
      6600      5 -0.2408239E-03  0.7071068E+00  0.7071067E+00
      6600      6 -0.1920673E-03  0.7070923E+00  0.7071212E+00
      6600      7 -0.1203082E-02  0.7071068E+00  0.7071058E+00
      6600      8 -0.2255320E-03  0.7071068E+00  0.7071068E+00
      6600      9 -0.1912676E-03  0.7070964E+00  0.7071171E+00
      6600     10 -0.1356053E-02  0.7071068E+00  0.7071055E+00
      6600     11 -0.2107887E-03  0.7071068E+00  0.7071068E+00
      6600     12 -0.1904636E-03  0.7071006E+00  0.7071130E+00
      6600     13 -0.6162327E-03  0.7071068E+00  0.7071065E+00
      6600     14 -0.1963899E-03  0.7071068E+00  0.7071068E+00
      6600     15 -0.1896581E-03  0.7071047E+00  0.7071088E+00
      6600     16 -0.2547407E-03  0.7071068E+00  0.7071067E+00
      6600     17 -0.1821302E-03  0.7071068E+00  0.7071068E+00
      6600     18 -0.1888536E-03  0.7071088E+00  0.7071047E+00
      6600     19 -0.1239018E-03  0.7071068E+00  0.7071068E+00
      6600     20 -0.1678033E-03  0.7071068E+00  0.7071068E+00
      6600     21 -0.1880529E-03  0.7071130E+00  0.7071006E+00
      6600     22  0.2366079E-03  0.7071068E+00  0.7071067E+00
      6600     23 -0.1532030E-03  0.7071068E+00  0.7071068E+00
      6600     24 -0.1872586E-03  0.7071171E+00  0.7070964E+00
      6600     25  0.9746627E-03  0.7071068E+00  0.7071061E+00
      6600     26 -0.1381231E-03  0.7071068E+00  0.7071068E+00
      6600     27 -0.1864735E-03  0.7071212E+00  0.7070923E+00
      6600     28  0.8187013E-03  0.7071068E+00  0.7071063E+00
      6600     29 -0.1223588E-03  0.7071068E+00  0.7071068E+00
      6600     30 -0.1857001E-03  0.7071253E+00  0.7070882E+00
      6600     31 -0.1858082E-02  0.7071068E+00  0.7071044E+00

      7200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      7200      1 -0.2064606E-03  0.7071068E+00  0.7071068E+00
      7200      2 -0.1057309E-04  0.7071068E+00  0.7071068E+00
      7200      3 -0.2169867E-03  0.7070804E+00  0.7071331E+00
      7200      4  0.5911984E-03  0.7071068E+00  0.7071065E+00
      7200      5 -0.5428292E-04  0.7071068E+00  0.7071068E+00
      7200      6 -0.2147025E-03  0.7070863E+00  0.7071273E+00
      7200      7 -0.1817278E-02  0.7071068E+00  0.7071045E+00
      7200      8 -0.9788317E-04  0.7071068E+00  0.7071068E+00
      7200      9 -0.2123834E-03  0.7070921E+00  0.7071214E+00
      7200     10 -0.9273512E-03  0.7071068E+00  0.7071062E+00
      7200     11 -0.1413807E-03  0.7071068E+00  0.7071068E+00
      7200     12 -0.2100337E-03  0.7070980E+00  0.7071156E+00
      7200     13 -0.9979825E-04  0.7071068E+00  0.7071068E+00
      7200     14 -0.1847871E-03  0.7071068E+00  0.7071068E+00
      7200     15 -0.2076574E-03  0.7071038E+00  0.7071097E+00
      7200     16 -0.8339848E-04  0.7071068E+00  0.7071068E+00
