# number of spin vectors:      62
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     32  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     33  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     34  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     35  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     36  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     37  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     38  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     39  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     40  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     41  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     42  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     43  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     44  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     45  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     46  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     47  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     48  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     49  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     50  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     51  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     52  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     53  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     54  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     55  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     56  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     57  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     58  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     59  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     60  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     61  0.0000000E+00  0.7071068E+00  0.7071068E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.7840715E-03  0.7071068E+00  0.7071063E+00
         1      2  0.2697561E-01  0.7069199E+00  0.7067790E+00
         1      3 -0.4995975E-02  0.7073527E+00  0.7068431E+00
         1      4  0.2325471E-01  0.7069742E+00  0.7068569E+00
         1      5 -0.4386189E-02  0.7074091E+00  0.7067908E+00
         1      6  0.1991121E-01  0.7070149E+00  0.7069183E+00
         1      7 -0.3807992E-02  0.7074497E+00  0.7067535E+00
         1      8  0.1692279E-01  0.7070448E+00  0.7069663E+00
         1      9 -0.3261310E-02  0.7074757E+00  0.7067301E+00
         1     10  0.1426701E-01  0.7070662E+00  0.7070034E+00
         1     11 -0.2746070E-02  0.7074884E+00  0.7067196E+00
         1     12  0.1192138E-01  0.7070812E+00  0.7070319E+00
         1     13 -0.2262199E-02  0.7074889E+00  0.7067209E+00
         1     14  0.9863336E-02  0.7070914E+00  0.7070534E+00
         1     15 -0.1809624E-02  0.7074783E+00  0.7067328E+00
         1     16  0.8070284E-02  0.7070980E+00  0.7070695E+00
         1     17 -0.1388271E-02  0.7074578E+00  0.7067542E+00
         1     18  0.6519609E-02  0.7071021E+00  0.7070814E+00
         1     19 -0.9980680E-03  0.7074287E+00  0.7067841E+00
         1     20  0.5188673E-02  0.7071045E+00  0.7070900E+00
         1     21 -0.6389402E-03  0.7073919E+00  0.7068212E+00
         1     22  0.4054831E-02  0.7071058E+00  0.7070961E+00
         1     23 -0.3108146E-03  0.7073488E+00  0.7068646E+00
         1     24  0.3095427E-02  0.7071065E+00  0.7071003E+00
         1     25 -0.1361747E-04  0.7073005E+00  0.7069130E+00
         1     26  0.2287803E-02  0.7071067E+00  0.7071032E+00
         1     27  0.2527246E-03  0.7072481E+00  0.7069654E+00
         1     28  0.1609300E-02  0.7071068E+00  0.7071050E+00
         1     29  0.4882851E-03  0.7071928E+00  0.7070206E+00
         1     30  0.1037254E-02  0.7071068E+00  0.7071060E+00
         1     31  0.6931377E-03  0.7071356E+00  0.7070776E+00
         1     32  0.5490048E-03  0.7071068E+00  0.7071066E+00
         1     33  0.8673559E-03  0.7070779E+00  0.7071351E+00
         1     34  0.1218887E-03  0.7071068E+00  0.7071068E+00
         1     35  0.1011013E-02  0.7070207E+00  0.7071921E+00
         1     36 -0.2667566E-03  0.7071067E+00  0.7071068E+00
         1     37  0.1124184E-02  0.7069652E+00  0.7072475E+00
         1     38 -0.6395932E-03  0.7071066E+00  0.7071067E+00
         1     39  0.1206940E-02  0.7069125E+00  0.7073000E+00
         1     40 -0.1019283E-02  0.7071062E+00  0.7071066E+00
         1     41  0.1259357E-02  0.7068637E+00  0.7073487E+00
         1     42 -0.1428489E-02  0.7071055E+00  0.7071066E+00
         1     43  0.1281506E-02  0.7068200E+00  0.7073922E+00
         1     44 -0.1889872E-02  0.7071044E+00  0.7071067E+00
         1     45  0.1273463E-02  0.7067826E+00  0.7074296E+00
         1     46 -0.2426092E-02  0.7071026E+00  0.7071068E+00
         1     47  0.1235301E-02  0.7067526E+00  0.7074597E+00
         1     48 -0.3059808E-02  0.7071000E+00  0.7071070E+00
         1     49  0.1167092E-02  0.7067311E+00  0.7074813E+00
         1     50 -0.3813679E-02  0.7070962E+00  0.7071071E+00
         1     51  0.1068911E-02  0.7067193E+00  0.7074933E+00
         1     52 -0.4710358E-02  0.7070909E+00  0.7071070E+00
         1     53  0.9408319E-03  0.7067182E+00  0.7074945E+00
         1     54 -0.5772493E-02  0.7070837E+00  0.7071063E+00
         1     55  0.7829273E-03  0.7067290E+00  0.7074839E+00
         1     56 -0.7022729E-02  0.7070740E+00  0.7071047E+00
         1     57  0.5952713E-03  0.7067529E+00  0.7074602E+00
         1     58 -0.8483694E-02  0.7070610E+00  0.7071017E+00
         1     59  0.3779375E-03  0.7067909E+00  0.7074224E+00
         1     60 -0.1017801E-01  0.7070439E+00  0.7070964E+00
         1     61  0.1309999E-03  0.7068443E+00  0.7073692E+00

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.1568142E-02  0.7071068E+00  0.7071050E+00
         2      2  0.2775930E-01  0.7069199E+00  0.7067487E+00
         2      3  0.2921610E-02  0.7055746E+00  0.7086296E+00
         2      4  0.2403849E-01  0.7069742E+00  0.7068307E+00
         2      5  0.2518642E-02  0.7056570E+00  0.7085492E+00
         2      6  0.9995268E+00  0.1429144E-08 -0.3076077E-01
         2      7  0.2203247E-02  0.7057479E+00  0.7084596E+00
         2      8 -0.9996279E+00  0.9173649E-04  0.2727621E-01
         2      9  0.1962439E-02  0.7058458E+00  0.7083628E+00
         2     10  0.9880460E+00  0.1131428E+00  0.1047080E+00
         2     11  0.1784297E-02  0.7059488E+00  0.7082606E+00
         2     12  0.1477766E+00  0.7002950E+00  0.6983902E+00
         2     13  0.1657953E-02  0.7060558E+00  0.7081543E+00
         2     14  0.1230360E-01  0.7071814E+00  0.7069251E+00
         2     15  0.1573568E-02  0.7061654E+00  0.7080452E+00
         2     16  0.2788770E-03  0.7071407E+00  0.7070728E+00
         2     17  0.1522311E-02  0.7062766E+00  0.7079344E+00
         2     18 -0.1852824E-02  0.7071175E+00  0.7070936E+00
         2     19  0.1496343E-02  0.7063885E+00  0.7078227E+00
         2     20 -0.2110011E-02  0.7071100E+00  0.7071004E+00
         2     21  0.1488823E-02  0.7065005E+00  0.7077109E+00
         2     22 -0.1776289E-02  0.7071076E+00  0.7071037E+00
         2     23  0.1493917E-02  0.7066122E+00  0.7075994E+00
         2     24 -0.1194862E-02  0.7071069E+00  0.7071056E+00
         2     25  0.1506809E-02  0.7067232E+00  0.7074886E+00
         2     26 -0.4902662E-03  0.7071068E+00  0.7071066E+00
         2     27  0.1523720E-02  0.7068335E+00  0.7073784E+00
         2     28  0.2877831E-03  0.7071068E+00  0.7071067E+00
         2     29  0.1541912E-02  0.7069431E+00  0.7072688E+00
         2     30  0.1125193E-02  0.7071068E+00  0.7071059E+00
         2     31  0.1559677E-02  0.7070523E+00  0.7071596E+00
         2     32  0.2030710E-02  0.7071068E+00  0.7071039E+00
         2     33  0.1576314E-02  0.7071613E+00  0.7070505E+00
         2     34  0.3031888E-02  0.7071068E+00  0.7071003E+00
         2     35  0.1592082E-02  0.7072704E+00  0.7069413E+00
         2     36  0.4175237E-02  0.7071067E+00  0.7070945E+00
         2     37  0.1608130E-02  0.7073800E+00  0.7068316E+00
         2     38  0.5530387E-02  0.7071066E+00  0.7070853E+00
         2     39  0.1626409E-02  0.7074901E+00  0.7067214E+00
         2     40  0.7201742E-02  0.7071063E+00  0.7070706E+00
         2     41  0.1649559E-02  0.7076009E+00  0.7066104E+00
         2     42  0.9358621E-02  0.7071060E+00  0.7070456E+00
         2     43  0.1680786E-02  0.7077121E+00  0.7064989E+00
         2     44  0.1231791E-01  0.7071065E+00  0.7069997E+00
         2     45  0.1723715E-02  0.7078236E+00  0.7063871E+00
         2     46  0.1678865E-01  0.7071143E+00  0.7068999E+00
         2     47  0.1782237E-02  0.7079348E+00  0.7062755E+00
         2     48  0.2447949E-01  0.7071845E+00  0.7066052E+00
         2     49  0.1860325E-02  0.7080449E+00  0.7061649E+00
         2     50  0.3121576E-01  0.7084075E+00  0.7051130E+00
         2     51  0.1961842E-02  0.7081531E+00  0.7060562E+00
         2     52 -0.5964235E+00  0.6143679E+00  0.5165569E+00
         2     53  0.2090289E-02  0.7082580E+00  0.7059506E+00
         2     54  0.9992036E+00  0.3499889E-03 -0.3989945E-01
         2     55  0.2248483E-02  0.7083585E+00  0.7058493E+00
         2     56  0.9999997E+00  0.1956239E-08  0.8015940E-03
         2     57  0.2438092E-02  0.7084529E+00  0.7057539E+00
         2     58 -0.7699623E-02  0.7070610E+00  0.7071106E+00
         2     59  0.2658928E-02  0.7085394E+00  0.7056663E+00
         2     60 -0.9393939E-02  0.7070439E+00  0.7071073E+00
         2     61  0.2907796E-02  0.7086159E+00  0.7055884E+00

         3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      1  0.2352211E-02  0.7071068E+00  0.7071029E+00
         3      2  0.2854296E-01  0.7069199E+00  0.7067175E+00
         3      3  0.5564428E-03  0.7083111E+00  0.7059002E+00
         3      4  0.2482224E-01  0.7069742E+00  0.7068036E+00
         3      5  0.6617456E-03  0.7083866E+00  0.7058243E+00
         3      6  0.9994921E+00  0.1429144E-08 -0.3186907E-01
         3      7  0.7655973E-03  0.7084109E+00  0.7057998E+00
         3      8 -0.9995971E+00  0.9173649E-04  0.2838462E-01
         3      9  0.8680846E-03  0.7083977E+00  0.7058130E+00
         3     10  0.9881615E+00  0.1131428E+00  0.1036124E+00
         3     11  0.9712595E-03  0.7083560E+00  0.7058547E+00
         3     12  0.9818989E+00  0.3200282E-05 -0.1894056E+00
         3     13  0.1077590E-02  0.7082921E+00  0.7059187E+00
         3     14  0.1067760E+00  0.7070524E+00  0.6990535E+00
         3     15  0.1189199E-02  0.7082103E+00  0.7060005E+00
         3     16  0.2117993E-01  0.7074723E+00  0.7064236E+00
         3     17  0.1307489E-02  0.7081138E+00  0.7060971E+00
         3     18  0.1540385E-01  0.7071609E+00  0.7068848E+00
         3     19  0.1432995E-02  0.7080049E+00  0.7062060E+00
         3     20  0.1115270E-01  0.7071222E+00  0.7070034E+00
         3     21  0.1565390E-02  0.7078854E+00  0.7063256E+00
         3     22  0.8742325E-02  0.7071117E+00  0.7070478E+00
         3     23  0.1703611E-02  0.7077568E+00  0.7064541E+00
         3     24  0.6999615E-02  0.7071082E+00  0.7070707E+00
         3     25  0.1846067E-02  0.7076206E+00  0.7065902E+00
         3     26  0.5527378E-02  0.7071071E+00  0.7070849E+00
         3     27  0.1990914E-02  0.7074783E+00  0.7067322E+00
         3     28  0.4192205E-02  0.7071068E+00  0.7070943E+00
         3     29  0.2136325E-02  0.7073316E+00  0.7068787E+00
         3     30  0.2946801E-02  0.7071068E+00  0.7071006E+00
         3     31  0.2280742E-02  0.7071820E+00  0.7070278E+00
         3     32  0.1775756E-02  0.7071068E+00  0.7071046E+00
         3     33  0.2423057E-02  0.7070315E+00  0.7071779E+00
         3     34  0.6824125E-03  0.7071068E+00  0.7071064E+00
         3     35  0.2562702E-02  0.7068819E+00  0.7073270E+00
         3     36 -0.3032553E-03  0.7071072E+00  0.7071063E+00
         3     37  0.2699630E-02  0.7067348E+00  0.7074734E+00
         3     38 -0.1086215E-02  0.7071087E+00  0.7071040E+00
         3     39  0.2834195E-02  0.7065922E+00  0.7076154E+00
         3     40 -0.1370900E-02  0.7071143E+00  0.7070979E+00
         3     41  0.2966946E-02  0.7064554E+00  0.7077513E+00
         3     42 -0.7153189E-04  0.7071335E+00  0.7070800E+00
         3     43  0.3098358E-02  0.7063260E+00  0.7078799E+00
         3     44  0.8587288E-02  0.7071866E+00  0.7069748E+00
         3     45  0.3228553E-02  0.7062055E+00  0.7079996E+00
         3     46  0.9352876E-01  0.7048171E+00  0.7031964E+00
         3     47  0.3357036E-02  0.7060952E+00  0.7081089E+00
         3     48  0.9915867E+00  0.1016398E+00  0.8015701E-01
         3     49  0.3482505E-02  0.7059971E+00  0.7082062E+00
         3     50 -0.9988409E+00  0.1395959E-05  0.4813407E-01
         3     51  0.3602754E-02  0.7059132E+00  0.7082892E+00
         3     52 -0.5958504E+00  0.6143679E+00  0.5172179E+00
         3     53  0.3714731E-02  0.7058466E+00  0.7083549E+00
         3     54  0.9991588E+00  0.3499889E-03 -0.4100739E-01
         3     55  0.3814775E-02  0.7058016E+00  0.7083993E+00
         3     56  0.1000000E+01  0.1956239E-08 -0.3072507E-03
         3     57  0.3899151E-02  0.7057842E+00  0.7084162E+00
         3     58 -0.6915542E-02  0.7070610E+00  0.7071187E+00
         3     59  0.3965092E-02  0.7058032E+00  0.7083969E+00
         3     60 -0.8609862E-02  0.7070439E+00  0.7071173E+00
         3     61  0.4012894E-02  0.7058720E+00  0.7083281E+00

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1  0.3136276E-02  0.7071068E+00  0.7070998E+00
         4      2  0.2932658E-01  0.7069199E+00  0.7066854E+00
         4      3  0.5751579E-02  0.7044438E+00  0.7097364E+00
         4      4  0.2560596E-01  0.7069742E+00  0.7067756E+00
         4      5  0.4922573E-02  0.7045876E+00  0.7096000E+00
         4      6  0.9994561E+00  0.1429144E-08 -0.3297733E-01
         4      7  0.4310956E-02  0.7047517E+00  0.7094410E+00
         4      8 -0.9995650E+00  0.9173649E-04  0.2949300E-01
         4      9  0.3862044E-02  0.7049307E+00  0.7092657E+00
         4     10  0.9882758E+00  0.1131428E+00  0.1025166E+00
         4     11  0.3535583E-02  0.7051197E+00  0.7090794E+00
         4     12  0.9816883E+00  0.3200282E-05 -0.1904943E+00
         4     13  0.3302501E-02  0.7053149E+00  0.7088864E+00
         4     14  0.9910054E+00  0.1292446E-03 -0.1338222E+00
         4     15  0.3141593E-02  0.7055129E+00  0.7086901E+00
         4     16  0.6425584E+00  0.5495975E+00  0.5339113E+00
         4     17  0.3037007E-02  0.7057113E+00  0.7084930E+00
         4     18  0.1229755E-01  0.7072591E+00  0.7068475E+00
         4     19  0.2976514E-02  0.7059082E+00  0.7082970E+00
         4     20  0.1804884E-03  0.7071427E+00  0.7070708E+00
         4     21  0.2950393E-02  0.7061023E+00  0.7081037E+00
         4     22 -0.8624788E-03  0.7071164E+00  0.7070966E+00
         4     23  0.2950749E-02  0.7062926E+00  0.7079138E+00
         4     24 -0.4765925E-03  0.7071093E+00  0.7071041E+00
         4     25  0.2971140E-02  0.7064790E+00  0.7077278E+00
         4     26  0.3463543E-03  0.7071073E+00  0.7071062E+00
         4     27  0.3006386E-02  0.7066616E+00  0.7075453E+00
         4     28  0.1369659E-02  0.7071068E+00  0.7071054E+00
         4     29  0.3052507E-02  0.7068410E+00  0.7073658E+00
         4     30  0.2520149E-02  0.7071068E+00  0.7071023E+00
         4     31  0.3106703E-02  0.7070184E+00  0.7071883E+00
         4     32  0.3779942E-02  0.7071068E+00  0.7070967E+00
         4     33  0.3167352E-02  0.7071951E+00  0.7070114E+00
         4     34  0.5160206E-02  0.7071068E+00  0.7070879E+00
         4     35  0.3233991E-02  0.7073724E+00  0.7068337E+00
         4     36  0.6703576E-02  0.7071074E+00  0.7070744E+00
         4     37  0.3307257E-02  0.7075517E+00  0.7066539E+00
         4     38  0.8531983E-02  0.7071101E+00  0.7070520E+00
         4     39  0.3388795E-02  0.7077339E+00  0.7064710E+00
         4     40  0.1112704E-01  0.7071211E+00  0.7070049E+00
         4     41  0.3481140E-02  0.7079197E+00  0.7062844E+00
         4     42  0.1721652E-01  0.7071804E+00  0.7068235E+00
         4     43  0.3587608E-02  0.7081092E+00  0.7060938E+00
         4     44  0.2620550E-02  0.7088392E+00  0.7053652E+00
         4     45  0.3712222E-02  0.7083021E+00  0.7058997E+00
         4     46 -0.9521359E+00  0.1847213E-03  0.3056751E+00
         4     47  0.3859741E-02  0.7084975E+00  0.7057028E+00
         4     48  0.9916750E+00  0.1016398E+00  0.7905745E-01
         4     49  0.4035837E-02  0.7086939E+00  0.7055046E+00
         4     50 -0.9987869E+00  0.1395959E-05  0.4924160E-01
         4     51  0.4247512E-02  0.7088893E+00  0.7053070E+00
         4     52 -0.5952765E+00  0.6143679E+00  0.5178783E+00
         4     53  0.4503790E-02  0.7090811E+00  0.7051126E+00
         4     54  0.9991127E+00  0.3499889E-03 -0.4211528E-01
         4     55  0.4816762E-02  0.7092658E+00  0.7049247E+00
         4     56  0.9999990E+00  0.1956239E-08 -0.1416095E-02
         4     57  0.5202906E-02  0.7094393E+00  0.7047473E+00
         4     58 -0.6131453E-02  0.7070610E+00  0.7071260E+00
         4     59  0.5684282E-02  0.7095962E+00  0.7045857E+00
         4     60 -0.7825773E-02  0.7070439E+00  0.7071264E+00
         4     61  0.6288050E-02  0.7097303E+00  0.7044454E+00

         5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      1  0.3920338E-02  0.7071068E+00  0.7070959E+00
         5      2  0.3011017E-01  0.7069199E+00  0.7066524E+00
         5      3  0.6924111E-02  0.7092569E+00  0.7049161E+00
         5      4  0.2638965E-01  0.7069742E+00  0.7067468E+00
         5      5  0.6477875E-02  0.7092066E+00  0.7049710E+00
         5      6  0.9994189E+00  0.1429144E-08 -0.3408556E-01
         5      7  0.6029956E-02  0.7091118E+00  0.7050702E+00
         5      8 -0.9995317E+00  0.9173649E-04  0.3060134E-01
         5      9  0.5605405E-02  0.7089921E+00  0.7051942E+00
         5     10  0.9883889E+00  0.1131428E+00  0.1014207E+00
         5     11  0.5217887E-02  0.7088580E+00  0.7053319E+00
         5     12  0.9814765E+00  0.3200282E-05 -0.1915827E+00
         5     13  0.4874656E-02  0.7087154E+00  0.7054777E+00
         5     14  0.9908564E+00  0.1292446E-03 -0.1349209E+00
         5     15  0.4579321E-02  0.7085667E+00  0.7056290E+00
         5     16  0.6273416E+00  0.7742703E-10 -0.7787442E+00
         5     17  0.4333244E-02  0.7084131E+00  0.7057848E+00
         5     18  0.1665111E-01  0.7087072E+00  0.7053062E+00
         5     19  0.4136273E-02  0.7082545E+00  0.7059451E+00
         5     20  0.1495897E-01  0.7071502E+00  0.7069051E+00
         5     21  0.3987168E-02  0.7080908E+00  0.7061102E+00
         5     22  0.1099252E-01  0.7071147E+00  0.7070134E+00
         5     23  0.3883920E-02  0.7079217E+00  0.7062802E+00
         5     24  0.8790764E-02  0.7071082E+00  0.7070507E+00
         5     25  0.3824048E-02  0.7077474E+00  0.7064552E+00
         5     26  0.7120202E-02  0.7071070E+00  0.7070707E+00
         5     27  0.3804916E-02  0.7075683E+00  0.7066347E+00
         5     28  0.5730833E-02  0.7071068E+00  0.7070835E+00
         5     29  0.3824058E-02  0.7073854E+00  0.7068177E+00
         5     30  0.4499751E-02  0.7071068E+00  0.7070925E+00
         5     31  0.3879471E-02  0.7071999E+00  0.7070030E+00
         5     32  0.3357349E-02  0.7071068E+00  0.7070988E+00
         5     33  0.3969843E-02  0.7070136E+00  0.7071888E+00
         5     34  0.2269556E-02  0.7071068E+00  0.7071031E+00
         5     35  0.4094671E-02  0.7068280E+00  0.7073736E+00
         5     36  0.1239887E-02  0.7071072E+00  0.7071053E+00
         5     37  0.4254253E-02  0.7066449E+00  0.7075556E+00
         5     38  0.3661260E-03  0.7071096E+00  0.7071039E+00
         5     39  0.4449545E-02  0.7064654E+00  0.7077336E+00
         5     40  0.2254983E-03  0.7071236E+00  0.7070899E+00
         5     41  0.4681897E-02  0.7062905E+00  0.7079067E+00
         5     42  0.8569695E-02  0.7072538E+00  0.7069078E+00
         5     43  0.4952707E-02  0.7061206E+00  0.7080743E+00
         5     44  0.2829850E+00  0.6798927E+00  0.6765097E+00
         5     45  0.5263028E-02  0.7059558E+00  0.7082364E+00
         5     46 -0.9517963E+00  0.1847213E-03  0.3067306E+00
         5     47  0.5613145E-02  0.7057957E+00  0.7083932E+00
         5     48  0.9917620E+00  0.1016398E+00  0.7795778E-01
         5     49  0.6002138E-02  0.7056401E+00  0.7085450E+00
         5     50 -0.9987317E+00  0.1395959E-05  0.5034907E-01
         5     51  0.6427375E-02  0.7054890E+00  0.7086917E+00
         5     52 -0.5947019E+00  0.6143679E+00  0.5185380E+00
         5     53  0.6883838E-02  0.7053432E+00  0.7088326E+00
         5     54  0.9990654E+00  0.3499889E-03 -0.4322311E-01
         5     55  0.7363069E-02  0.7052050E+00  0.7089652E+00
         5     56  0.9999968E+00  0.1956239E-08 -0.2524938E-02
         5     57  0.7851385E-02  0.7050799E+00  0.7090844E+00
         5     58 -0.5347357E-02  0.7070610E+00  0.7071323E+00
         5     59  0.8326835E-02  0.7049781E+00  0.7091802E+00
         5     60 -0.7041675E-02  0.7070439E+00  0.7071346E+00
         5     61  0.8754409E-02  0.7049186E+00  0.7092342E+00

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1  0.4704395E-02  0.7071068E+00  0.7070911E+00
         6      2  0.3089372E-01  0.7069199E+00  0.7066186E+00
         6      3  0.7914243E-02  0.7040844E+00  0.7100722E+00
         6      4  0.2717330E-01  0.7069742E+00  0.7067171E+00
         6      5  0.7036318E-02  0.7043389E+00  0.7098290E+00
         6      6  0.9993805E+00  0.1429144E-08 -0.3519373E-01
         6      7  0.6349107E-02  0.7045831E+00  0.7095931E+00
         6      8 -0.9994971E+00  0.9173649E-04  0.3170965E-01
         6      9  0.5799782E-02  0.7048174E+00  0.7093650E+00
         6     10  0.9885007E+00  0.1131428E+00  0.1003246E+00
         6     11  0.5362498E-02  0.7050438E+00  0.7091435E+00
         6     12  0.9812634E+00  0.3200282E-05 -0.1926709E+00
         6     13  0.5021698E-02  0.7052640E+00  0.7089270E+00
         6     14  0.9907061E+00  0.1292446E-03 -0.1360196E+00
         6     15  0.4765676E-02  0.7054789E+00  0.7087149E+00
         6     16  0.6264777E+00  0.7742703E-10 -0.7794393E+00
         6     17  0.4584152E-02  0.7056888E+00  0.7085071E+00
         6     18 -0.2012805E+00  0.6928697E+00  0.6924000E+00
         6     19  0.4467436E-02  0.7058935E+00  0.7083039E+00
         6     20  0.2232707E-02  0.7071465E+00  0.7070635E+00
         6     21  0.4406217E-02  0.7060928E+00  0.7081056E+00
         6     22  0.1522492E-02  0.7071103E+00  0.7071016E+00
         6     23  0.4391618E-02  0.7062868E+00  0.7079122E+00
         6     24  0.2178605E-02  0.7071067E+00  0.7071035E+00
         6     25  0.4415379E-02  0.7064755E+00  0.7077237E+00
         6     26  0.2875190E-02  0.7071066E+00  0.7071011E+00
         6     27  0.4470096E-02  0.7066596E+00  0.7075396E+00
         6     28  0.3561969E-02  0.7071068E+00  0.7070978E+00
         6     29  0.4549476E-02  0.7068400E+00  0.7073588E+00
         6     30  0.4297536E-02  0.7071068E+00  0.7070937E+00
         6     31  0.4648577E-02  0.7070181E+00  0.7071801E+00
         6     32  0.5149900E-02  0.7071068E+00  0.7070880E+00
         6     33  0.4763994E-02  0.7071954E+00  0.7070021E+00
         6     34  0.6208594E-02  0.7071068E+00  0.7070796E+00
         6     35  0.4893967E-02  0.7073734E+00  0.7068232E+00
         6     36  0.7628019E-02  0.7071066E+00  0.7070658E+00
         6     37  0.5038379E-02  0.7075536E+00  0.7066418E+00
         6     38  0.9717608E-02  0.7071071E+00  0.7070397E+00
         6     39  0.5198627E-02  0.7077372E+00  0.7064567E+00
         6     40  0.1319031E-01  0.7071167E+00  0.7069738E+00
         6     41  0.5377374E-02  0.7079253E+00  0.7062669E+00
         6     42  0.2933999E-01  0.7074591E+00  0.7061450E+00
         6     43  0.5578178E-02  0.7081183E+00  0.7060718E+00
         6     44  0.9292025E+00  0.5068332E-09 -0.3695710E+00
         6     45  0.5805050E-02  0.7083164E+00  0.7058713E+00
         6     46 -0.9514556E+00  0.1847213E-03  0.3077858E+00
